prodid,brand,name,size,currentprice,fullprice,salespercentage,rawdescription
1502219,Coles Finest,Italian Style Pork Sausages,500g,8.0,9.0,11.11,COLES FINEST ITALIAN STYLE PORK SAUSAGES
2951568,Rocco's,Smokey Bacon & Cheese Sausages,450g,6.5,8.0,18.75,ROCCO'S SMOKEY CHEESE AND BACON SAUSAGES
3492637,Coles,No Added Hormone Beef Roast Topside,approx. 1.3kg,22.1,0.0,0.0,COLES NO ADDED HORMONE BEEF ROAST TOPSIDE
7382540,Coles,RSPCA Approved Chicken Mixed Portions Southern Fried,1.2kg,12.7,15.5,18.06,COLES RSPCA CHICKEN MIXED PORTIONS SOUTHERN FRIED
2888519,Coles,Beef Slow Cook Short Ribs,approx. 800g each,12.0,0.0,0.0,COLES BEEF SLOW COOK SHORT RIBS
3729747,Tassal,Tasmanian Smoked Salmon,100g,7.0,11.5,39.13,TASSAL TASMANIAN SMOKED SALMON
1131026,Msc Austral,Certified Blue Grenadier Fillet,approx 1kg,16.0,18.0,11.11,AUSTRAL MSC CERTIFIED BLUE GRENADIER FILLET
9131755,Coles,No Added Hormones Beef Bone In Rib Eye With Caf'e De Paris Butter,approx. 500g,18.75,21.0,10.71,COLES NO ADDED HORMONES BEEF BONE IN RIB EYE WITH CAF'E DE PARIS BUTTER
2610341,Tibaldi,Authentic Ham Off The Bone,500g,14.0,16.0,12.5,TIBALDI AUTHENTIC HAM OFF THE BONE
7645616,Coles Finest,Australian Pork & Beef Chorizo Sausages,500g,8.0,9.0,11.11,COLES FINEST AUSTRALIAN PORK AND BEEF  CHORIZO SAUSAGES 500GM
5286625,Tassal,Salmon Portions Mustard And Dill,300g,14.0,18.0,22.22,TASSAL FRESH SALMON PORTIONS MUSTARD AND DILL
5927592,Coles Finest,Lamb Garlic And Oregano Sausages,450g,8.0,9.0,11.11,COLES FINEST LAMB- GARLIC AND OREGANO SAUSAGES- 450GM
7346171,Coles Finest,Sausages Beef Garlic Parsley,500g,8.0,9.0,11.11,COLES FINEST SAUSAGES BEEF GARLIC PARSLEY 500GRAM
3745710,Coles,RSPCA Approved Chicken Kebabs Honey & Soy,375g,7.0,8.0,12.5,COLES RSPCA CHICKEN KEBABS HONEY & SOY 375GRAM
9007723,K-Roo,Kangaroo Mince,1kg,12.0,14.6,17.81,K ROO KANGAROO MINCE
2957859,Luv A Duck,Cooked Duck Breasts Peking Flavoured,380g,10.0,16.5,39.39,LUV A DUCK COOKED DUCK BREASTS PEKING FLAVOURED
1309886,Luv A Duck,Peking Duck Breast Pancake Kit,560g,13.0,18.0,27.78,LUV A DUCK PEKING DUCK BREAST PANCAKE KIT 560G
5014523,Regal,New Zealand King Salmon Manuka Wood Smoked Slices,100g,9.0,11.4,21.05,REGAL NEW ZEALAND KING SALMON MANUKA WOOD SMOKED SLICES
5926669,Coles Finest,Beef And Margaret River Shiraz Sausages,500g,8.0,9.0,11.11,COLES FINEST BEEF AND MARGARET RIVER SHIRAZ SAUSAGES 500G
6413681,Coles Made Easy,Beef Stroganoff With Creamy Sauce,500g,11.0,13.0,15.38,COLES MADE EASY BEEF STROGANOFF WITH CREAMY SAUCE 500G
3165594,Coles Deli,Thawed Peeled Garlic Prawns,approx. 250g,7.5,8.5,11.76,COLES DELI THAWED PEELED GARLIC PRAWNS
8902667,KB's Cooked,Prawn Meat,240 GRAM,9.0,11.0,18.18,KB'S COOKED PRAWN MEAT 240G
6765463,Cleaver's,Organic Grass-Fed Beef Rump Steak,300g,12.5,14.5,13.79,CLEAVERS ORGANIC BEEF RUMP STEAK 300G
8799524,Coles Finest,Selection Pack Sausages,500g,8.0,9.0,11.11,COLES FINEST SELECTION PACK SAUSAGE PACK- 500G (BEEF GP- ITALIAN- BEEF SHIRAZ)
8925120,K-roo,Herb & Garlic Marinated Steak,400g,10.0,12.0,16.67,K-ROO HERB AND GARLIC MARINATED STEAK 400G
3489508,Cleaver's Organic,Grass-fed Beef Lasagne,600g,12.0,14.0,14.29,CLEAVER'S ORGANIC GRASS-FED BEEF LASAGNE
9069094,Coles Made Easy,Beef Brisket In Peppercorn Sauce,500g,11.0,13.0,15.38,COLES MADE EASY BEEF BRISKET IN PEPPERCORN SAUCE 500G
3477360,Tassal,Hot Smoked Salmon Cracked Peppercorn,150g,10.0,13.0,23.08,TASSAL HOT SMOKED SALMON CRACKED PEPPERCORN
4724840,K-Roo,Kangaroo Stir Fry,500g,12.0,13.0,7.69,K-ROO KANGAROO STIR FRY 500G
1048738,Coles Made Easy,Slow Cooked Beef Creamy Mushroom Sauce,500g,11.0,14.0,21.43,MADE EASY SLOW COOKED BEEF CREAMY MUSHROOM SAUCE 500G
3024300,Ocean Blue,Premium Blue Swimmer Crab Meat,140g,10.0,11.5,13.04,OCEAN BLUE PREMIUM BLUE SWIMMER CRAB MEAT
7066867,Moira Mac's,Smoked Turkey Breast Portion,400g,9.0,10.0,10.0,MOIRA MAC'S SMOKED TURKEY BREAST PORTION 400G
1058436,KB's,Panko Crumbed Prawns,180g,9.0,10.0,10.0,KB'S PANKO CRUMBED PRAWNS 180G
5032467,Talley's,Mussels Natural,375g,6.5,7.5,13.33,TALLEY'S MUSSELS NATURAL
3951520,Norfolk Bay,Wood Smoked Mussels Natural,120g,7.5,8.5,11.76,NORFOLK BAY WOOD SMOKED MUSSELS NATURAL
9024595,Cleavers Organic,Lamb Loin Chop,approx. 350g,10.5,0.0,0.0,CLEAVERS ORGANIC LAMB LOIN CHOP
9596067,Talley's,Mussels Garlic,375g,6.5,7.5,13.33,TALLEY'S MUSSELS GARLIC
4677536,Norfolk Bay,Wood Smoked Mussels Garlic,120g,7.5,8.5,11.76,NORFOLK BAY WOOD SMOKED MUSSELS GARLIC
9596089,Talley's,Mussels Chilli,375g,6.5,7.5,13.33,TALLEY'S MUSSELS CHILLI
1486575,Luv A Duck,Rendered Duck Fat,200g,5.0,6.5,23.08,LUV A DUCK RENDERED DUCK FAT
8094460,Coles Deli,Seafood Salad,approx .150g,2.55,3.0,15.0,COLES DELI SEAFOOD SALAD
1001461,Coles,RSPCA Approved Chicken Wings Honey & Soy,1kg,,,,COLES RSPCA CHICKEN WINGS HONEY & SOY
