prodid,aisle,category,subcategory,aisleid,categoryid,subcategoryid
4469970,Kebabs,"Bbq, Sausages & Burgers",Meat & Seafood,8892659,8892656,7238
4472748,Easy Meals,Coles Made Easy Range,Meat & Seafood,8892680,8892679,7238
4492133,Pork Marinade,Pork,Meat & Seafood,8892651,8892647,7238
4660067,"Meat, Dairy & Eggs",Organic,Dietary & World Foods,675068803,674135800,674112512
4660067,Organic Poultry,Organic Meat,Meat & Seafood,8892687,8892684,7238
4677558,Smoked And Cured Fish,Seafood,Meat & Seafood,8892678,8892671,7238
4678970,Beef Roasts,Beef & Veal,Meat & Seafood,8892624,8892621,7238
4720260,Prepacked Seafood,Seafood,Meat & Seafood,8892677,8892671,7238
4750352,Beef & Veal Mince,Beef & Veal,Meat & Seafood,8892622,8892621,7238
4750352,Veal,Beef & Veal,Meat & Seafood,8892631,8892621,7238
4750352,Beef & Veal Mince,Mince,Meat & Seafood,8892665,8892664,7238
4997140,Beef Steaks,Beef & Veal,Meat & Seafood,8892625,8892621,7238
5041107,Beef Steaks,Beef & Veal,Meat & Seafood,8892625,8892621,7238
5132370,Beef Steaks,Beef & Veal,Meat & Seafood,8892625,8892621,7238
5132428,Beef Steaks,Beef & Veal,Meat & Seafood,8892625,8892621,7238
5132676,Burgers & Rissoles,"Bbq, Sausages & Burgers",Meat & Seafood,8892658,8892656,7238
5145758,Scallops & Mussels,Deli Seafood,Deli,648146297,8892733,8892715
5145758,Deli Marinara Mix And Other Seafood,Seafood,Meat & Seafood,8892674,8892671,7238
5259644,Pork Marinade,Pork,Meat & Seafood,8892651,8892647,7238
5285280,Prepacked Seafood,Seafood,Meat & Seafood,8892677,8892671,7238
5306642,Prepacked Seafood,Seafood,Meat & Seafood,8892677,8892671,7238
5406818,Sausages,"Bbq, Sausages & Burgers",Meat & Seafood,8892662,8892656,7238
5471026,Lamb Roasts,Lamb,Meat & Seafood,8892644,8892638,7238
5471773,Kebabs & Bites,Poultry,Meat & Seafood,8892612,8892602,7238
5579328,Smoked And Cured Fish,Seafood,Meat & Seafood,8892678,8892671,7238
5697561,Pork Marinade,Pork,Meat & Seafood,8892651,8892647,7238
5886429,Pork Marinade,Pork,Meat & Seafood,8892651,8892647,7238
5969865,Breast Fillets,Poultry,Meat & Seafood,8892603,8892602,7238
5969865,Crumbed Chicken,Poultry,Meat & Seafood,8892607,8892602,7238
5970321,Crumbed Chicken,Poultry,Meat & Seafood,8892607,8892602,7238
5986922,Ham Shoulder & Steaks,Ham,Meat & Seafood,8892637,8892632,7238
5987969,Lamb Steak,Lamb,Meat & Seafood,8892646,8892638,7238
5990497,Lamb Roasts,Lamb,Meat & Seafood,8892644,8892638,7238
6028603,Sausages,"Bbq, Sausages & Burgers",Meat & Seafood,8892662,8892656,7238
6062510,Pork Steaks,Pork,Meat & Seafood,8892655,8892647,7238
6067751,Beef Steaks,Beef & Veal,Meat & Seafood,8892625,8892621,7238
6067751,Meat,"Meat, Seafood & Deli",Down Down,8906035,8906013,8906007
6068539,Beef Steaks,Beef & Veal,Meat & Seafood,8892625,8892621,7238
6068539,Meat,"Meat, Seafood & Deli",Down Down,8906035,8906013,8906007
6068936,Beef Steaks,Beef & Veal,Meat & Seafood,8892625,8892621,7238
6069236,Beef Steaks,Beef & Veal,Meat & Seafood,8892625,8892621,7238
6069269,Beef Steaks,Beef & Veal,Meat & Seafood,8892625,8892621,7238
6069280,Beef Steaks,Beef & Veal,Meat & Seafood,8892625,8892621,7238
6069575,Beef Steaks,Beef & Veal,Meat & Seafood,8892625,8892621,7238
6132591,Lamb Steak,Lamb,Meat & Seafood,8892646,8892638,7238
6135432,Pork Steaks,Pork,Meat & Seafood,8892655,8892647,7238
6135432,Meat,"Meat, Seafood & Deli",Down Down,8906035,8906013,8906007
6135658,Pork Ribs,Pork,Meat & Seafood,8892653,8892647,7238
6135691,Pork Steaks,Pork,Meat & Seafood,8892655,8892647,7238
6135691,Meat,"Meat, Seafood & Deli",Down Down,8906035,8906013,8906007
6139150,Free Range Pork,Pork,Meat & Seafood,8892649,8892647,7238
6139218,Free Range Pork,Pork,Meat & Seafood,8892649,8892647,7238
6261233,Free Range Chicken,Poultry,Meat & Seafood,8892611,8892602,7238
6332331,Beef Steaks,Beef & Veal,Meat & Seafood,8892625,8892621,7238
6332331,Slow Cook & Casserole Beef,Beef & Veal,Meat & Seafood,8892629,8892621,7238
6332353,Beef Steaks,Beef & Veal,Meat & Seafood,8892625,8892621,7238
6358481,Beef Steaks,Beef & Veal,Meat & Seafood,8892625,8892621,7238
6358481,Graze Beef,Beef & Veal,Meat & Seafood,8892627,8892621,7238
6358608,Beef Steaks,Beef & Veal,Meat & Seafood,8892625,8892621,7238
