prodid,brand,name,size,currentprice,fullprice,salespercentage,rawdescription
8766751,Coles Simply,Cooking Salt,2Kg,3.5,0.0,0.0,COLES SIMPLY COOKING SALT 2KG
8766810,Coles Simply,Table Salt,1Kg,2.0,0.0,0.0,COLES SIMPLY TABLE SALT 1KG
8769421,Lee Kum Kee,Ready Sauce Sweet Chilli Chicken,145g,2.7,0.0,0.0,LEE KUM KEE READY SAUCE SWEET CHILLI CHICKEN 145GM
8769443,Lee Kum Kee,Ready Sauce Mala Chicken,100g,2.7,0.0,0.0,LEE KUM KEE READY SAUCE MALA CHICKEN 100GM
8772335,Nissin,Spicy Seafood Noodle Cup,72g,2.8,0.0,0.0,NISSIN SPICY SEAFOOD NOODLE CUP 72GM
8774319,Lee Kum Kee,Ready Sauce Honey And Soy Chicken,120g,2.7,0.0,0.0,LEE KUM KEE READY SAUCE HONEY & SOY CHICKEN 120G
8779061,Coco Earth,Mexican Soft Chicken Tacos,320 GRAM,8.0,0.0,0.0,COCO EARTH MEXICAN SOFT CHICKEN TACOS 320G
8779094,Coco Earth,Mexican Bean Nachos,275 GRAM,8.0,0.0,0.0,COCO EARTH MEXICAN BEAN NACHOS 275G
8792376,Hershey's,Chocolate Syrup,425g,5.0,0.0,0.0,HERSHEY'S CHOCOLATE SYRUP 425G
8792842,Hershey's,Caramel Syrup,425g,5.0,0.0,0.0,HERSHEY'S CARAMEL SYRUP 425G
8792853,Hershey's,Strawberry Syrups,425g,5.0,0.0,0.0,HERSHEY'S STRAWBERRY SYRUPS 425G
8793776,Spam,Canned Turkey Oven Roasted,340g,6.8,0.0,0.0,SPAM CANNED:TURKEY OVEN ROASTED:.:340GRAM
8795716,Coles,Whole Champignons,425g,1.75,0.0,0.0,COLES CHAMPIGNONS WHOLE 425G
8795760,Coles,Champignons Pieces & Stems,425g,1.75,0.0,0.0,COLES CHAMPIGNONS PIECES & STEM 425G
8797573,Tetley,Classic Chai Latte Tea Sachets 8 Pack,200g,6.7,0.0,0.0,TETLEY CHAI LATTE:CLASSIC
8810751,Cottee's,Instant Vanilla Pudding,100g,2.2,0.0,0.0,COTTEE'S INSTANT VANILLA PUDDING 100G
8830566,Vittoria,Espresso Ground Coffee,500g,32.5,0.0,0.0,VITTORIA COFFEE GROUND 500G
8830657,MasterFoods,Hot Chilli Sauce,250mL,3.8,0.0,0.0,MASTERFOODS SQUEEZY SAUCE:HOT CHILLI:.:250 ML
8832991,Oxyshred,Ultra Energy Drink Juicy Watermelon,355mL,4.0,4.9,18.37,OXYSHRED ULTRA ENERGY DRINK JUICY WATERMELON 355 ML
8833305,MasterFoods,Mild American Mustard Smooth & Tangy,550g,4.5,0.0,0.0,MASTERFOODS MUSTARD MILD AMERICAN
8833382,Aunt Betty's,Rice Pudding Sticky Date 2 Pack,240g,4.0,0.0,0.0,AUNT BETTY'S RICE PUDDING STICKY DATE 2PK 240GRAM
8833430,Aunt Betty's,Rice Pudding Apple Pie 2 Pack,240g,4.0,0.0,0.0,AUNT BETTY'S RICE PUDDING APPLE PIE 2PK 240GRAM
8833677,Aeroplane,Custard Lite,35g,2.5,0.0,0.0,AEROPLANE CUSTARD LITE 35G
8836256,Fancy Plants,Chocolate Silky Pot,190g,4.8,0.0,0.0,FANCY PLANTS CHOCOLATE SILKY POT 190G
8836278,PG Tips,Tea Bags,40 pack,6.0,0.0,0.0,PG TIPS TEA BAGS 40 PACK
8837306,Campbell's,Real Stock Chicken Stock Salt Reduced,1L,4.5,0.0,0.0,CAMPBELLS REAL STOCK:SALT REDUCED CHICKEN:1 LITRE
8848867,Farmer Jo,Gluten Free Granola Nutty Chai & Coconut,300g,10.0,0.0,0.0,FARMER JO GLUTEN FREE GRANOLA NUTTY CHAI & COCONUT 300G
8848889,Farmer Jo,Gluten Free Granola Caramel Almond Crunch,300g,10.0,0.0,0.0,FARMER JO GLUTEN FREE GRANOLA CARAMEL ALMOND CRUNCH 300G
8849054,Coles,Sauce Tomato,2L,5.0,0.0,0.0,COLES SAUCE TOMATO 2LITRE
8849338,Farmer Jo,Gluten Free Granola Salted Maple Cashew,300g,10.0,0.0,0.0,FARMER JO GLUTEN FREE GRANOLA SALTED MAPLE CASHEW 300G
8849407,Kozhikoden Mix,Kerala,800GRAM,9.0,0.0,0.0,KOZHIKODEN KERALA MIXTURE 800G
8849429,Kushi Jelly Jar,Diwali Edition,900GRAM,6.0,0.0,0.0,KUSHI JELLY DIWALI  EDITION JAR 900G
8850122,Queen,Pure Canadian Maple Syrup,250mL,9.5,0.0,0.0,QUEEN PURE CANADIAN MAPLE SYRUP
8854101,Laucke,White Crusty Calico Bag Bread Mix,10kg,27.6,0.0,0.0,LAUCKE CALICO BAG BREAD MIX CRUSTY WHITE
8855443,Carmelina,Diced Tomatoes,400g,1.5,0.0,0.0,CARMELINA DICED TOMATOES 400G
8855476,Carmelina,Peeled Tomatoes,400g,1.5,0.0,0.0,CARMELINA PEELED TOMATOES 400G
8855498,Carmelina,Chick Peas,400 GRAM,1.4,1.9,26.32,CARMELINA CHICK PEAS 400G
8855512,Carmelina.,Red Kidney Beans,400 GRAM,1.4,1.9,26.32,CARMELINA RED KIDNEY BEANS 400G
8855567,Carmelina,Lentils,400g,1.4,1.9,26.32,CARMELINA LENTILS 400G
8855589,Carmelina,Black Beans,400 GRAM,1.4,1.9,26.32,CARMELINA BLACK BEANS 400G
8855614,Carmelina,4 Bean Mix,400 GRAM,1.4,1.9,26.32,CARMELINA 4 BEAN MIX 400G
8855691,Carmelina,Butter Beans,400g,1.4,1.9,26.32,CARMELINA BUTTER BEANS 400G
8859568,Carmelina,Borlotti Beans,400 GRAM,1.4,1.9,26.32,CARMELINA BORLOTTI BEANS 400G
8860090,Carmelina,Cannellini Beans,400 GRAM,1.4,1.9,26.32,CARMELINA CANNELLINI BEANS 400G
8864976,Chang's,Super Lo-Cal Thin Noodles,390g,3.0,0.0,0.0,CHANG'S SUPER LO-CAL THIN  NOODLES  390G
8865028,Coles,Asparagus Cuts & Tips,425g,,,,COLES ASPARAGUS CUTS & TIPS  425G
8871359,Marion's,Kitchen Pad See Ew Meal Kit,315g,8.5,0.0,0.0,MARION'S KITCHEN PAD SEE EW MEAL KIT 315GM
