prodid,aisle,category,subcategory,aisleid,categoryid,subcategoryid
6739510,"Pickles, Chutney & Relish",Pickled Vegetables & Condiments,Pantry,9101,9232,10302
6739532,"Pickles, Chutney & Relish",Pickled Vegetables & Condiments,Pantry,9101,9232,10302
6739554,Pizza & Pasta,Sauces,Pantry,9290,9373,10302
6751276,Oil,Oils & Vinegars,Pantry,9485,9484,10302
6751403,Instant Meals & Sides,"Canned Food, Soups & Noodles",Pantry,10024,10146,10302
6751403,Egg Free,Free From,Dietary & World Foods,675007331,674114623,674112512
6751403,Nut Free,Free From,Dietary & World Foods,675024750,674114623,674112512
6751403,Peanut Free,Free From,Dietary & World Foods,675024758,674114623,674112512
6751403,Pantry,Vegan & Vegetarian,Dietary & World Foods,675080037,674136793,674112512
6751447,Breakfast Cereal,Breakfast,Pantry,18742,7294,10302
6751447,Family Favourites,Breakfast,Pantry,8883601,7294,10302
6751469,Breakfast Cereal,Breakfast,Pantry,18742,7294,10302
6751469,Family Favourites,Breakfast,Pantry,8883601,7294,10302
6755131,Salad Dressings,Pickled Vegetables & Condiments,Pantry,9129,9232,10302
6755131,Mayonnaise,Pickled Vegetables & Condiments,Pantry,9139,9232,10302
6764697,Packet Seasonings,Herbs & Spices,Pantry,8286,8285,10302
6764697,Breadcrumbs & Stuffing,Baking,Pantry,8339,8756,10302
6767709,Mexican,World Foods,Dietary & World Foods,675105516,674113139,674112512
6767709,Mexican,International Foods,Pantry,8904810,8904802,10302
6768745,Mexican,World Foods,Dietary & World Foods,675105516,674113139,674112512
6768745,Mexican,International Foods,Pantry,8904810,8904802,10302
6768960,Healthy Cooking,Health Foods,Pantry,12083,10301,10302
6768960,Gluten Free,Free From,Dietary & World Foods,675024732,674114623,674112512
6768960,Soy Free,Free From,Dietary & World Foods,675024759,674114623,674112512
6768960,Pasta,"Pasta, Rice, Legumes & Grains",Pantry,9539,9634,10302
6768971,Healthy Cooking,Health Foods,Pantry,12083,10301,10302
6768971,Gluten Free,Free From,Dietary & World Foods,675024732,674114623,674112512
6768971,Soy Free,Free From,Dietary & World Foods,675024759,674114623,674112512
6768971,Pasta,"Pasta, Rice, Legumes & Grains",Pantry,9539,9634,10302
6768982,Healthy Cooking,Health Foods,Pantry,12083,10301,10302
6768982,Gluten Free,Free From,Dietary & World Foods,675024732,674114623,674112512
6768982,Soy Free,Free From,Dietary & World Foods,675024759,674114623,674112512
6768982,Pasta,"Pasta, Rice, Legumes & Grains",Pantry,9539,9634,10302
6769920,Pasta & Rice,Pantry Items,Down Down,8906041,8906014,8906007
6769920,Pasta,"Pasta, Rice, Legumes & Grains",Pantry,9539,9634,10302
6786099,Fish & Seafood,"Canned Food, Soups & Noodles",Pantry,10091,10146,10302
6787819,Fish & Seafood,"Canned Food, Soups & Noodles",Pantry,10091,10146,10302
6790416,Syrups & Toppings,Pickled Vegetables & Condiments,Pantry,9233,9232,10302
6799829,Chinese,World Foods,Dietary & World Foods,675102473,674113139,674112512
6799829,Asian,International Foods,Pantry,8904804,8904802,10302
6799942,Thai,World Foods,Dietary & World Foods,675108470,674113139,674112512
6799942,Asian,International Foods,Pantry,8904804,8904802,10302
6799942,Stir-Fry And Curries,Sauces,Pantry,9361,9373,10302
6800779,Drinks,Halal,Dietary & World Foods,675040493,674135336,674112512
6800779,Malaysian,World Foods,Dietary & World Foods,675105506,674113139,674112512
6800779,Asian,International Foods,Pantry,8904804,8904802,10302
6801035,"Falafels, Soy & Tofu",Vegan & Vegetarian,Dietary & World Foods,675076165,674136793,674112512
6801035,Malaysian,World Foods,Dietary & World Foods,675105506,674113139,674112512
6801035,Asian,International Foods,Pantry,8904804,8904802,10302
6801080,Malaysian,World Foods,Dietary & World Foods,675105506,674113139,674112512
6801080,Asian,International Foods,Pantry,8904804,8904802,10302
6801782,Malaysian,World Foods,Dietary & World Foods,675105506,674113139,674112512
6801782,Asian,International Foods,Pantry,8904804,8904802,10302
6802945,Asian,International Foods,Pantry,8904804,8904802,10302
6803020,Thai,World Foods,Dietary & World Foods,675108470,674113139,674112512
6803020,Asian,International Foods,Pantry,8904804,8904802,10302
6803096,Asian,International Foods,Pantry,8904804,8904802,10302
6803642,Egg Free,Free From,Dietary & World Foods,675007331,674114623,674112512
6803642,Peanut Free,Free From,Dietary & World Foods,675024758,674114623,674112512
6803642,Chinese,World Foods,Dietary & World Foods,675102473,674113139,674112512
6803642,Asian,International Foods,Pantry,8904804,8904802,10302
6803799,Chinese,World Foods,Dietary & World Foods,675102473,674113139,674112512
6803799,Asian,International Foods,Pantry,8904804,8904802,10302
6803799,Stir-Fry And Curries,Sauces,Pantry,9361,9373,10302
6811607,Sugar & Sweeteners,Baking,Pantry,8317,8756,10302
6816666,Green,Tea,Pantry,19880,10303,10302
6816666,Tea Green,Tea Drinks,Drinks,98648,98627,11456
6823151,Thai,World Foods,Dietary & World Foods,675108470,674113139,674112512
6823151,Asian,International Foods,Pantry,8904804,8904802,10302
6823322,Thai,World Foods,Dietary & World Foods,675108470,674113139,674112512
6823322,Asian,International Foods,Pantry,8904804,8904802,10302
6823344,Thai,World Foods,Dietary & World Foods,675108470,674113139,674112512
6823344,Asian,International Foods,Pantry,8904804,8904802,10302
6823377,Thai,World Foods,Dietary & World Foods,675108470,674113139,674112512
6823377,Asian,International Foods,Pantry,8904804,8904802,10302
6823413,Thai,World Foods,Dietary & World Foods,675108470,674113139,674112512
6823413,Asian,International Foods,Pantry,8904804,8904802,10302
6823683,Thai,World Foods,Dietary & World Foods,675108470,674113139,674112512
6823683,Asian,International Foods,Pantry,8904804,8904802,10302
6825918,Chinese,World Foods,Dietary & World Foods,675102473,674113139,674112512
6825918,Asian,International Foods,Pantry,8904804,8904802,10302
6835015,Instant Coffee,Coffee,Pantry,19890,19888,10302
6835015,Coffee Instant,Coffee Drinks,Drinks,98655,98628,11456
6835558,Salt & Pepper,Herbs & Spices,Pantry,8252,8285,10302
6835809,Canned Vegetables,"Canned Food, Soups & Noodles",Pantry,9964,10146,10302
6836197,Indian,World Foods,Dietary & World Foods,675103733,674113139,674112512
6836197,Indian,International Foods,Pantry,8904806,8904802,10302
