prodid,brand,name,size,current_price,full_price,raw_description
332394,Tip Top,Muffins English Original,400g,3.1,6.2,TIP TOP MUFFINS:ENGLISH:.:400 GRAM
5137320,Tip Top,Muffins English Wholemeal,400g,3.1,6.2,TIP TOP MUFFINS ENGLISH WHOLEMEAL
7111848,La Fournee Doree,Vegan Brioche Burger Bun 4 Pack,250g,3.3,6.6,LA FOURNEE DOREE VEGAN BRIOCHE BURGER BUN 4PK:250 GRAM
9795915,Tip Top,Muffins English Fruit & Spice,400g,3.1,6.2,TIP TOP MUFFINS ENGLISH FRUIT & SPICE
293099,Tip Top,Muffins English Multigrain,400g,3.1,6.2,TIP TOP MUFFINS ENGLISH:MULTIGRAIN:.:400 GRAM
332383,Golden,Crumpet Rounds Original,300g,4.6,0.0,GOLDEN CRUMPET ROUNDS:ORIGINAL:.:300 GRAM
6955662,Mission,Original Wraps 8 Pack,567g,5.5,0.0,MISSION WRAPS ORIGINAL 8 PACK
7620921,Mission,Spinach & Herb Wraps 8 Pack,567g,5.5,0.0,MISSION WRAPS SPINACH & HERB 8 PACK
292223,Golden,Crumpet Rounds Wholemeal,300g,4.6,0.0,GOLDEN CRUMPET ROUNDS:WHOLEMEAL:.:300 GRAM
6955673,Mission,Roasted Garlic Wraps 8 Pack,567g,5.5,0.0,MISSION WRAPS SUPERSOFT ROASTED GARLIC
3757039,Coles,Cupcakes Red Velvet 4 Pack,288g,6.25,0.0,COLES CUPCAKES RED VELVET 4PK
7863480,Mission,Wholegrain Wraps 8 pack,567g,5.5,0.0,MISSION WRAPS WHOLEGRAIN 8 PACK
3757028,Coles,Cupcakes Chocolate 4 Pack,288g,6.25,0.0,COLES CUPCAKES CHOCOLATE 4PK
3757061,Coles,Vanilla Mini Cupcakes 9 Pack,216g,6.25,0.0,COLES VANILLA MINI CUPCAKES 9PK
3757050,Coles,Fantasy Cupcakes 4 Pack,288g,6.25,0.0,COLES FANTASY CUPCAKES 4PK
