prodid,brand,name,size,current_price,full_price,raw_description
6270970,OB Finest,Fig & Pecan Crackers,150g,6.5,0.0,OB FINEST FIG & PECAN CRAKERS 150G
6846860,Mersey Valley,Jalapeno Vintage Cheddar,80g,4.8,0.0,MERSEY VALLEY JALAPENO VINTAGE CHEDDAR 80G
3843356,Mersey Valley,Little Entertainer Pickled Onion,80g,4.8,0.0,MERSEY VALLEY LITTLE ENTERTAINERS PICKLED ONION 80G
8106800,Coles Deli,Fresh Tasmanian Salmon Portions Skin On,approx. 200g,6.4,8.8,COLES DELI FRESH TASMANIAN SALMON PORTIONS SKIN ON
3052929,Don,Virginian Ham From The Deli,approx. 100g,2.2,2.8,DON VIRGINIAN HAM FROM THE DELI
9358230,Don,Premium Melosi Leg Ham,approx. 100g,2.6,3.25,DON PREMIUM MELOSI LEG HAM FROM THE DELI
2686693,Coles Deli,Thawed Australian Cooked Black Tiger Prawns Extra Large,approx. 250g,7.0,9.0,COLES DELI THAWED AUSTRALIAN COOKED BLACK TIGER PRAWNS EXTRA LARGE
3954674,Coles Deli,Australian Thawed Raw Extra Large Black Tiger Prawns,approx. 250g,6.5,7.25,COLES DELI AUSTRALIAN THAWED RAW EXTRA LARGE BLACK TIGER PRAWNS
1106470,Coles Deli,Fresh West Australian Barramundi Portions Skin On (sellable Id),approx 1kg,28.0,36.0,COLES DELI FRESH WEST AUSTRALIAN BARRAMUNDI PORTIONS SKIN ON (SELLABLE ID)
4304277,Primo,Short Cut Bacon,approx. 250g,3.75,5.25,PRIMO SHORT CUT RINDLESS BACON FROM THE DELI
4803506,Petuna Deli,Fresh Salmon Portions Skin On Tray,2.5kg,80.0,110.0,PETUNA DELI FRESH SALMON PORTIONS SKIN ON TRAY 2.5KG
6623174,Dandy,Mild Salami From The Deli,approx. 100g,2.55,3.2,DANDY MILD SALAMI FROM THE DELI
9398755,Coles Deli,Thawed Basa Fillets,approx. 200g each,1.8,2.2,COLES DELI THAWED BASA FILLET
3359400,Coles,RSPCA Approved Bbq Roasted Chicken Breast,approx. 100g,2.4,2.8,COLES RSPCA BBQ ROASTED CHICKEN BREAST FROM THE DELI
1890118,Bertocchi,Triple Smoked Leg Ham From The Deli,approx. 100g,3.0,3.75,BERTOCCHI TRIPLE SMOKED LEG HAM FROM THE DELI
2140860,Primo,Frankfurt Cocktail,1kg,6.9,8.0,PRIMO FRANKFURT COCKTAIL 1KG
9038432,Kb's Thawed Cooked,Jumbo Prawn Cutlets.,PERKG,37.0,42.0,KB'S THAWED COOKED JUMBO PRAWN CUTLETS
1500304,Don,Gluten Free Footy Franks Skinless,600g,6.8,7.8,DON FOOTY FRANKS SKINLESS 600G
1472253,Coles,Silverside,approx. 100g,2.4,2.7,COLES SILVERSIDE FROM THE DELI
4165396,KB's,Deli Thawed Msc Cooked Rock Lobster,1 Each,29.0,33.0,MSC KB'S DELI THAWED WA COOKED ROCK LOBSTER 10KG (20 UNITS)
2140871,Primo,Thin Frankfurt,1kg,6.9,8.0,PRIMO FRANKFURT THIN 1KG
