prodid,aisle,category,subcategory,aisle_id,category_id,subcategory_id
1048320,Deli Prawns,Seafood,Meat & Seafood,8892676,8892671,7238
1048320,Prawn & Crustaceans,Deli Seafood,Deli,8892735,8892733,8892715
1089881,Deli Blue Cheese,Gourmet Cheese,Deli,8892754,8892750,8892715
1092376,"Fetta, Haloumi & Other",Gourmet Cheese,Deli,8892755,8892750,8892715
1101557,Packaged Salami & Kabana,Packaged Deli Meats,"Dairy, Eggs & Fridge",795554,79555,1300
1101557,"New Salami, Prosciutto & Soppressa",NEW Sliced Meats,Deli,849218142,849217995,8892715
1102083,Packaged Bacon,Packaged Deli Meats,"Dairy, Eggs & Fridge",795553,79555,1300
1102083,"New Sliced Ham, Pork & Bacon",NEW Sliced Meats,Deli,849218145,849217995,8892715
1102083,Packaged Ham,Deli Packaged Meat,Deli,8901802,8901800,8892715
1102775,Packaged Bacon,Packaged Deli Meats,"Dairy, Eggs & Fridge",795553,79555,1300
1102775,"New Sliced Ham, Pork & Bacon",NEW Sliced Meats,Deli,849218145,849217995,8892715
1102775,Packaged Ham,Deli Packaged Meat,Deli,8901802,8901800,8892715
1105795,Packaged Deli Meat,Packaged Deli Meats,"Dairy, Eggs & Fridge",795551,79555,1300
1105795,New Sliced Meats,NEW Sliced Meats,Deli,849218190,849217995,8892715
1105795,Meat Packaged,Deli Packaged Meat,Deli,8901801,8901800,8892715
1105795,Deli Foods,"Meat, Seafood & Deli",Down Down,8906034,8906013,8906007
1108443,Packaged Salami & Kabana,Packaged Deli Meats,"Dairy, Eggs & Fridge",795554,79555,1300
1108443,"New Salami, Prosciutto & Soppressa",NEW Sliced Meats,Deli,849218142,849217995,8892715
1108454,Packaged Deli Meat,Packaged Deli Meats,"Dairy, Eggs & Fridge",795551,79555,1300
1108454,New Sliced Meats,NEW Sliced Meats,Deli,849218190,849217995,8892715
1108476,Packaged Deli Meat,Packaged Deli Meats,"Dairy, Eggs & Fridge",795551,79555,1300
1108476,New Sliced Poultry,NEW Sliced Meats,Deli,849218306,849217995,8892715
1108476,Meat Packaged,Deli Packaged Meat,Deli,8901801,8901800,8892715
1108487,Packaged Deli Meat,Packaged Deli Meats,"Dairy, Eggs & Fridge",795551,79555,1300
1108487,"New Salami, Prosciutto & Soppressa",NEW Sliced Meats,Deli,849218142,849217995,8892715
1108487,Meat Packaged,Deli Packaged Meat,Deli,8901801,8901800,8892715
1108851,Packaged Deli Meat,Packaged Deli Meats,"Dairy, Eggs & Fridge",795551,79555,1300
1108851,"New Sliced Ham, Pork & Bacon",NEW Sliced Meats,Deli,849218145,849217995,8892715
1108851,Meat Packaged,Deli Packaged Meat,Deli,8901801,8901800,8892715
1131081,Salami,Deli Meats,Deli,8892721,8892717,8892715
1137612,Packaged Deli Meat,Packaged Deli Meats,"Dairy, Eggs & Fridge",795551,79555,1300
1137612,"New Salami, Prosciutto & Soppressa",NEW Sliced Meats,Deli,849218142,849217995,8892715
1202102,Chicken & Turkey,Deli Meats,Deli,8900601,8892717,8892715
1312075,Deli Marinara Mix And Other Seafood,Seafood,Meat & Seafood,8892674,8892671,7238
1312075,Marinara Mix,Deli Seafood,Deli,8892738,8892733,8892715
1419228,Deli Platter,Pre-Made Platters,Deli,8900611,8900400,8892715
1435519,Packaged Frankfurts,Packaged Deli Meats,"Dairy, Eggs & Fridge",795552,79555,1300
1435519,Frankfurts Packaged,Deli Packaged Meat,Deli,8901803,8901800,8892715
1435778,Other Sliced Meats,Deli Meats,Deli,8900603,8892717,8892715
1435790,Other Sliced Meats,Deli Meats,Deli,8900603,8892717,8892715
1435803,Other Sliced Meats,Deli Meats,Deli,8900603,8892717,8892715
1435814,Ham,Deli Meats,Deli,8900602,8892717,8892715
1435825,Other Sliced Meats,Deli Meats,Deli,8900603,8892717,8892715
1435847,Other Sliced Meats,Deli Meats,Deli,8900603,8892717,8892715
1435858,Other Sliced Meats,Deli Meats,Deli,8900603,8892717,8892715
1848199,Salami & Kabana Packaged,Deli Packaged Meat,Deli,8901804,8901800,8892715
1960086,Packaged Deli Meat,Packaged Deli Meats,"Dairy, Eggs & Fridge",795551,79555,1300
1960086,Meat Packaged,Deli Packaged Meat,Deli,8901801,8901800,8892715
1973281,Prepackaged Seafood,Deli Seafood,Deli,648146295,8892733,8892715
1973281,Seafood Frozen,Frozen Fish & Seafood,Frozen,85633,85612,85471
1976461,Poultry Deli,Poultry,Meat & Seafood,8892620,8892602,7238
1976461,Diced & Tenders,Deli Poultry,Deli,8892732,8892728,8892715
1988438,Cheddar & Tasty Cheese,Cheese,"Dairy, Eggs & Fridge",8882204,8882200,1300
1988438,Cheddar,Gourmet Cheese,Deli,8892751,8892750,8892715
1988438,Gourmet Cheese,Cheese,"Dairy, Eggs & Fridge",8915809,8882200,1300
1988460,Cheddar & Tasty Cheese,Cheese,"Dairy, Eggs & Fridge",8882204,8882200,1300
1988460,Cheddar,Gourmet Cheese,Deli,8892751,8892750,8892715
1988460,Gourmet Cheese,Cheese,"Dairy, Eggs & Fridge",8915809,8882200,1300
1988529,Cheddar & Tasty Cheese,Cheese,"Dairy, Eggs & Fridge",8882204,8882200,1300
1988529,Cheddar,Gourmet Cheese,Deli,8892751,8892750,8892715
1988529,Gourmet Cheese,Cheese,"Dairy, Eggs & Fridge",8915809,8882200,1300
1988551,Cheddar & Tasty Cheese,Cheese,"Dairy, Eggs & Fridge",8882204,8882200,1300
1988551,Cheddar,Gourmet Cheese,Deli,8892751,8892750,8892715
1988551,Gourmet Cheese,Cheese,"Dairy, Eggs & Fridge",8915809,8882200,1300
2042442,Packaged Deli Meat,Packaged Deli Meats,"Dairy, Eggs & Fridge",795551,79555,1300
2042442,Meat Packaged,Deli Packaged Meat,Deli,8901801,8901800,8892715
2072997,"Kabana, Pancetta & Mortadella",Deli Meats,Deli,8892720,8892717,8892715
