prodid,brand,name,size,current_price,full_price,raw_description
3906514,Coles,Oranges Cara Cara,2kg,6.0,0.0,ORANGES CARA CARA:2 KG:.:1 EACH
3917055,Coles,Black Sesame Crackers,approx. 100g,2.0,0.0,COLES BLACK SESAME CRACKERS:.:PER KG
3938452,Coles,Habanero Chillies,40g,3.8,0.0,COLES CHILLIES :HABANERO:.:40 GRAM
3938860,Coles,Birdseye Chillies,40g,3.8,0.0,COLES CHILLIES:BIRDSEYE:.:40 GRAM
3939058,Coles,Carolina Reaper Chillies,20g,3.8,0.0,CHILLIES :CAROLINA REAPER:.:20 GRAM
3958530,Coles,Brushed Potatoes,4 Kg,9.0,0.0,BRUSHED POTATOES:BRUSHED:.:4 KG
3997189,Coles,Roma Tomatoes,480g,5.5,0.0,TOMATOES:ROMA:.:480 GRAM
407675,Coles,Green Beans loose,approx. 200g,1.3,0.0,BEANS:GREEN:PER KG
407766,Coles,Brussels Sprouts Medium,approx. 200g,2.58,0.0,BRUSSELS SPROUTS:MEDIUM:.:PER KG
408372,Coles,Rhubarb Bunch,1 Each,6.2,0.0,RHUBARB:BUNCH:.:1 EACH
408383,Coles,Silverbeet Medium,1 Each,4.4,0.0,SILVERBEET:MEDIUM:.:1 BUNCH
408419,Coles,Spring Onions,1 Bunch,2.7,0.0, ONIONS:SPRING:.:1 BUNCH
408554,Coles,Apple Granny Smith Medium,approx. 170g,1.0,0.0,APPLE GRANNY SMITH:MEDIUM:.:PER KG
409499,Coles,Bananas,approx. 180g,0.72,0.0,BANANAS: PER KG
409557,Coles,Coconut Whole,1 each,5.5,0.0,COCONUT:IMPORTED:1 EACH
409728,Coles,Lemons 5 Pack,1 Each,5.5,0.0,LEMONS 5PK::5 PACK
409772,Coles,Kensington Pride Mangoes,1 each,3.9,0.0,MANGOES KENSINGTON PRIDE:MEDIUM:.:1 EACH
409987,Coles,Beurre Bosc Pears,approx. 230g each,1.03,0.0,PEARS:BEURRE BOSC:PER KG
410046,Coles,Pineapple Tops On Medium,1 each,6.9,0.0,PINEAPPLES TOPS ON:MEDIUM:1 EACH
4150570,Coles,Corn Cobettes,400g,6.5,0.0,COLES CORN:COBBETTES:.:400 GRAM
4183423,Coles,Butternut Pumpkin Whole,approx. 2Kg each,8.0,0.0,PUMPKIN WHOLE:BUTTERNUT:.:PER KG
4183558,Coles,Pumpkin Whole  Kent,approx. 4Kg,11.6,0.0,PUMPKIN WHOLE: KENT:.:PER KG
4190600,Coles,Wrapped Butternut Pumpkin,approx. 700g each,2.45,0.0,BUTTERNUT PUMPKIN WRAPPED:BUTTERNUT:.:PER KG
4199503,Coles,Potatoes Sweet Gold,approx. 500g,2.45,0.0,POTATOES SWEET GOLD:.:PER KG
4202540,Coles,Kent Pumpkin Cut,approx. 800g,2.32,0.0,PUMPKIN WRAP:KENT:.:PER KG
4205264,Coles,Melon Watermelon Whole Seedless,approx. 8kg,31.2,0.0,MELON WATERMELON WHOLE:SEEDLESS:.:PER KG
4218459,Coles,Onions Red Local,approx. 200g,1.1,0.0,ONIONS:RED:LOCAL:.:PER KG
4223335,Coles,Carrots Loose,approx. 170g,0.44,0.0,CARROTS:LOOSE:.:PER KG
4236122,Coles,Baby Carrots,500g,1.9,0.0,COLES CARROTS:BABY:.:500 GRAM
4239517,Coles,Loose Brown Onions,approx. 200g,0.78,0.0,LOOSE BROWN ONIONS:BROWN:.:PER KG
4255717,Coles,Orange Navel,approx. 250g,0.88,0.0,ORANGE:NAVEL:.:PER KG
428915,Coles,Rockmelon Whole,1 each,5.9,0.0,ROCKMELON:LARGE:.:1 EACH
429000,Coles,Corella Pears,approx. 210g,1.16,0.0,PEARS:CORELLA:PER KG
4337797,Coles,Apple Envy Red,approx. 200g,0.98,1.38,APPLE ENVY:RED:.:PER KG
4350944,Coles Organic,Silver Beet,1 Each,5.5,0.0,COLES ORGANIC:SILVER BEET:.:1 BUNCH
4352291,Coles Organic,Oranges,approx. 200g,1.38,0.0,COLES ORGANIC:ORANGES:PER KG
438409,Coles,Sugar Snap Peas Loose,approx. 200g each,3.2,0.0,SUGAR SNAP PEAS:LOOSE:.: PER KG
4409923,Coles,Longans,approx. 20g each,0.32,0.0,LONGANS:.:PER KG
4433462,Coles,Royal Gala Apples 1kg,1 each,6.5,0.0,ROYAL GALA APPLES 1KG:ROYAL GALA:.:1 KG
4438740,Coles,Granny Smith Apples,1kg,5.9,0.0,GRANNYSMITHS APPLES 1 KG:GRANNY SMITH:.:1 KG
4441857,Coles,Cabbage Half Savoy,1 each,4.7,0.0,COLES CABBAGE HALF:SAVOY:.:1 EACH
444503,Coles,Josephine Pears,approx. 230g,0.9,0.0,PEAR:JOSEPHINE:PER KG
4457052,Coles,Cabbage Half Red,1 each,4.2,0.0,COLES CABBAGE HALF:RED:.:1 EACH
4462223,Coles Kitchen,Classic Vegetable Stir Fry,750g,6.5,0.0,COLES KITCHEN CLASSIC VEGETABLE STIR FRY:.:750 GRAM
4462562,Coles Kitchen,Green Goddess Veggie Pot,200g,5.5,0.0,COLES KITCHEN GREEN GODDESS VEGGIE POT:.:200 GRAM
4462573,Coles Kitchen,Superfood Veggie Pot,200g,5.5,0.0,COLES KITCHEN SUPERFOOD VEGGIE POT:.:200 GRAM
4488464,Coles,Mini Tomatoes,125g,4.2,0.0,TOMATOES PP:MINI:.:125 GRAM
4491980,Coles Organic,Snacking Carrots,250g,4.0,0.0,COLES ORG CARROT:SNACKING:.:250 GRAM
