prodid,brand,name,size,current_price,full_price,raw_description
8409186,Lilydale,Free Range Chicken Breast Fillet,600g,12.5,13.5,LILYDALE FREE RANGE CHICKEN BREAST FILLET
8794451,Coles Finest,Lamb Frenched Rack Roast,approx. 550g,17.6,22.0,COLES FINEST LAMB FRENCHED RACK ROAST
7702119,Cleavers,Organic Chicken Schnitzel,400g,11.0,12.5,CLEAVERS ORGANIC CHICKEN SCHNITZEL 400G
4352145,Coles,RSPCA Approved Chicken Mince,500g,6.0,0.0,COLES RSPCA CHICKEN MINCE
3293594,Coles,No Added Hormone Beef Quick Cook Scotch Fillet Steak,170g,8.5,0.0,COLES BRAND NO ADDED HORMONE BEEF QUICK COOK SCOTCH FILLET STEAK 170GRAM
3923626,Coles,The Original Beef Sausages,550g,6.5,0.0,COLES THE ORIGINAL BEEF SAUSAGES 550G
8428646,Coles,RSPCA Approved Chicken Breast Mince,500g,7.5,0.0,COLES RSPCA CHICKEN BREAST MINCE
3923648,Coles,Chicken Sage And Thyme Sausages,550g,6.5,0.0,COLES CHICKEN- SAGE AND THYME SAUSAGES 550G
3923681,Coles,Beef Garlic & Herb Sausages,550g,6.5,0.0,COLES BEEF GARLIC & HERB SAUSAGES 550G
3293583,Coles,No Added Hormone Beef Quick Cook Porterhouse Steak,180g,8.5,0.0,COLES BRAND NO ADDED HORMONE BEEF QUICK COOK PORTERHOUSE STEAK 180GRAM
3923761,Coles,Pork Sausage,550g,6.5,0.0,COLES PORK SAUSAGES 550G
3923739,Coles,Beef Chipolatas,550g,6.5,0.0,COLES BEEF CHIPOLATAS 550G
3034348,Coles,Beef And Thyme Burger,500g,8.5,0.0,COLES BEEF AND THYME BURGER 500G
2272737,Coles,RSPCA Approved Chicken Wings Value Bag,2kg,9.5,0.0,COLES RSPCA CHICKEN WINGS
3898948,Coles,Classic Beef Burgers,500g,8.5,0.0,COLES CLASSIC BEEF BURGERS 500G
3923660,Coles,Pork Chipolatas,550g,6.5,0.0,COLES PORK CHIPOLATAS 550G
7585263,Lilydale,Free Range Chicken Mince,500g,9.0,0.0,LILYDALE FREE RANGE CHICKEN MINCE
8828495,Coles,Chicken Burgers Zucchini & Cheddar Cheese,450g,8.5,0.0,COLES CHICKEN BURGERS ZUCCHINI & CHEDDAR CHEESE 450GRAM
5132541,Coles,Lamb Burgers With Rosemary And Garlic 4 Pack,400g,8.5,0.0,COLES LAMB BURGERS WITH ROSEMARY AND GARLIC 400G 4 PACK
8450565,K-Roo,Kangaroo Burgers,440g,9.0,0.0,K-ROO KANGA BURGERS
1027228,Coles,RSPCA Approved Honey Chicken Bites,400g,9.5,0.0,COLES RSPCA HONEY CHICKEN BITES
1200231,K-Roo,Kanga Bangas,500g,9.0,0.0,K-ROO KANGA BANGAS
1324711,Coles,Entertaining Chicken & Chorizo Kebabs,300g,9.0,0.0,COLES ENTERTAINING CHICKEN & CHORIZO KEBABS 300G
1324835,Coles,Entertaining Beef Burger Sliders,500g,9.0,0.0,COLES ENTERTAINING BEEF BURGER SLIDERS 500G
1327844,Coles,Entertaining Meatball Kebabs With Capsicum,360g,9.0,0.0,COLES ENTERTAINING MEATBALL KEBABS WITH CAPSICUM 360G
1324755,Coles,Entertaining Chicken Tenderlion  Skewer Greek Style,300g,8.5,0.0,COLES ENTERTAINING CHICKEN TENDERLOIN SKEWER GREEK STYLE 300GRAM
1324802,Coles,Entertaining Chicken Wing Nibbles Salt- Chilli Lime Seasoning,500g,8.5,0.0,COLES ENTERTAINING CHICKEN WING NIBBLES SALT- CHILLI LIME SEASONING 500G
1327855,Coles,Entertaining Kransky Bites,400g,8.5,0.0,COLES ENTERTAINING KRANSKY BITES 400G
4997220,Coles,Beef Scotch Steak Fillet 2 Pack,480g,18.0,21.0,COLES BRAND VSP BEEF SCOTCH  STEAK 2 PACK
8106800,Coles Deli,Fresh Tasmanian Salmon Portions Skin On,approx. 200g,6.4,8.8,COLES DELI FRESH TASMANIAN SALMON PORTIONS SKIN ON
1134771,Coles,Pork Scotch Steak,600 g,12.0,0.0,COLES PORK SCOTCH STEAK 600G
6139116,Coles,Pork Sirloin Steak,500g,11.5,0.0,COLES PORK SIRLOIN STEAK 500G
2686693,Coles Deli,Thawed Australian Cooked Black Tiger Prawns Extra Large,approx. 250g,7.0,9.0,COLES DELI THAWED AUSTRALIAN COOKED BLACK TIGER PRAWNS EXTRA LARGE
3954674,Coles Deli,Australian Thawed Raw Extra Large Black Tiger Prawns,approx. 250g,6.5,7.25,COLES DELI AUSTRALIAN THAWED RAW EXTRA LARGE BLACK TIGER PRAWNS
3853699,Coles,No Added Hormone Beef Porterhouse Steak With Thyme And Pepper Butter,500g,17.0,20.0,COLES BRAND BEEF PORTERHOUSE STEAK WITH THYME AND PEPPER BUTTER 500GRAM
2782438,Coles,RSPCA Approved Medium Whole Chicken,approx. 1.65kg,7.92,9.07,COLES RSPCA CHICKEN WHOLE MEDIUM
4803506,Petuna Deli,Fresh Salmon Portions Skin On Tray,2.5kg,80.0,110.0,PETUNA DELI FRESH SALMON PORTIONS SKIN ON TRAY 2.5KG
3035293,Coles,Pork Spare Ribs,approx. 950g,18.05,20.9,COLES PORK SPARE RIBS (11X9)
3292300,Coles,Lamb Loin Chops Bulk,approx. 890g,21.36,27.59,COLES LAMB LOIN CHOPS BULK PER KG  (11X9)
9196739,Coles,RSPCA Approved Extra Large Whole Chicken,approx. 2.4kg each,11.52,13.2,COLES RSPCA CHICKEN WHOLE EXTRA LARGE
6068856,Coles,No Added Hormone Beef Oyster Blade Steak,500g,11.0,14.0,COLES NO ADDED HORMONE BEEF OYSTER BLADE STEAK 500GRAM
9398755,Coles Deli,Thawed Basa Fillets,approx. 200g each,1.8,2.2,COLES DELI THAWED BASA FILLET
9413881,Coles,Boneless Pork Shoulder Roast,approx. 2.6kg,23.4,28.6,COLES BONELESS PORK SHOULDER ROAST
9206887,Coles,Butcher Lamb Leg Roast Boneless,approx. 1.08kg,20.52,23.76,COLES BUTCHER LAMB LEG ROAST BONELESS
3359400,Coles,RSPCA Approved Bbq Roasted Chicken Breast,approx. 100g,2.4,2.8,COLES RSPCA BBQ ROASTED CHICKEN BREAST FROM THE DELI
9917524,Coles,Lamb Loin Chops,approx. 500g,12.0,15.5,COLES LAMB LOIN CHOPS PER KG (11X5)
2951568,Rocco's,Smokey Bacon & Cheese Sausages,450g,6.5,8.0,ROCCO'S SMOKEY CHEESE AND BACON SAUSAGES
