prodid,aisle,category,subcategory,aisleid,categoryid,subcategoryid
222782,Deli Fish,Seafood,Meat & Seafood,8892673,8892671,7238
222782,Fish,Deli Seafood,Deli,8892734,8892733,8892715
2263168,Breast Fillets,Poultry,Meat & Seafood,8892603,8892602,7238
2263179,Breast Fillets,Poultry,Meat & Seafood,8892603,8892602,7238
2263260,Drumsticks & Maryland,Poultry,Meat & Seafood,8892609,8892602,7238
2263317,Thigh Fillets,Poultry,Meat & Seafood,8892614,8892602,7238
2263328,Thigh Fillets,Poultry,Meat & Seafood,8892614,8892602,7238
2263339,Chicken Wings,Poultry,Meat & Seafood,8892606,8892602,7238
2265720,Drumsticks & Maryland,Poultry,Meat & Seafood,8892609,8892602,7238
2268263,Drumsticks & Maryland,Poultry,Meat & Seafood,8892609,8892602,7238
2268365,Thigh Fillets,Poultry,Meat & Seafood,8892614,8892602,7238
2271199,Poultry Deli,Poultry,Meat & Seafood,8892620,8892602,7238
2271199,Breast & Thigh Fillets,Deli Poultry,Deli,8892730,8892728,8892715
2271643,Poultry Deli,Poultry,Meat & Seafood,8892620,8892602,7238
2271643,Wings & Drumsticks,Deli Poultry,Deli,8892731,8892728,8892715
2272715,Poultry Deli,Poultry,Meat & Seafood,8892620,8892602,7238
2272715,Wings & Drumsticks,Deli Poultry,Deli,8892731,8892728,8892715
2292337,Pastry,Coles Made Easy Range,Meat & Seafood,8892682,8892679,7238
2303750,Breast Fillets,Poultry,Meat & Seafood,8892603,8892602,7238
2303750,Free Range Chicken,Poultry,Meat & Seafood,8892611,8892602,7238
2303772,Free Range Chicken,Poultry,Meat & Seafood,8892611,8892602,7238
2303852,Free Range Chicken,Poultry,Meat & Seafood,8892611,8892602,7238
2311191,Beef Roasts,Beef & Veal,Meat & Seafood,8892624,8892621,7238
2311191,Slow Cook & Casserole Beef,Beef & Veal,Meat & Seafood,8892629,8892621,7238
2359370,Pork Steaks,Pork,Meat & Seafood,8892655,8892647,7238
2359370,Meat,"Meat, Seafood & Deli",Down Down,8906035,8906013,8906007
2529470,Gluten Free,Free From,Dietary & World Foods,675024732,674114623,674112512
2529470,Burgers & Rissoles,"Bbq, Sausages & Burgers",Meat & Seafood,8892658,8892656,7238
2591860,Beef Steaks,Beef & Veal,Meat & Seafood,8892625,8892621,7238
2591870,Beef Steaks,Beef & Veal,Meat & Seafood,8892625,8892621,7238
2598520,Gluten Free,Free From,Dietary & World Foods,675024732,674114623,674112512
2598520,"Meat, Dairy & Eggs",Organic,Dietary & World Foods,675068803,674135800,674112512
2598520,Organic Sausages & Meatballs,Organic Meat,Meat & Seafood,8892688,8892684,7238
2679847,Duck,Poultry,Meat & Seafood,8892616,8892602,7238
2679847,Oil,Oils & Vinegars,Pantry,9485,9484,10302
2725456,Meatballs,"Bbq, Sausages & Burgers",Meat & Seafood,8892660,8892656,7238
2727699,Lamb Shanks,Lamb,Meat & Seafood,8892645,8892638,7238
2736805,"Diced, Stir-Fry & Tenders",Poultry,Meat & Seafood,8892608,8892602,7238
2736805,Poultry Deli,Poultry,Meat & Seafood,8892620,8892602,7238
2736805,Meat,"Meat, Seafood & Deli",Down Down,8906035,8906013,8906007
2739891,Kangaroo,Game,Meat & Seafood,8892690,8892689,7238
2740766,Smoked And Cured Fish,Seafood,Meat & Seafood,8892678,8892671,7238
2741270,Free Range Pork,Pork,Meat & Seafood,8892649,8892647,7238
2741485,Free Range Pork,Pork,Meat & Seafood,8892649,8892647,7238
2741554,Free Range Pork,Pork,Meat & Seafood,8892649,8892647,7238
2741871,Free Range Pork,Pork,Meat & Seafood,8892649,8892647,7238
2747131,Pork Ribs,Pork,Meat & Seafood,8892653,8892647,7238
2814749,Sausages,"Bbq, Sausages & Burgers",Meat & Seafood,8892662,8892656,7238
2814818,Sausages,"Bbq, Sausages & Burgers",Meat & Seafood,8892662,8892656,7238
2814953,Burgers & Rissoles,"Bbq, Sausages & Burgers",Meat & Seafood,8892658,8892656,7238
2819345,Veal,Beef & Veal,Meat & Seafood,8892631,8892621,7238
2820606,Beef & Veal Mince,Beef & Veal,Meat & Seafood,8892622,8892621,7238
2820606,Graze Beef,Beef & Veal,Meat & Seafood,8892627,8892621,7238
2820606,Slow Cook & Casserole Beef,Beef & Veal,Meat & Seafood,8892629,8892621,7238
2820606,Beef & Veal Mince,Mince,Meat & Seafood,8892665,8892664,7238
2829622,Crumbed Chicken,Poultry,Meat & Seafood,8892607,8892602,7238
2829699,Breast Fillets,Poultry,Meat & Seafood,8892603,8892602,7238
2829699,Crumbed Chicken,Poultry,Meat & Seafood,8892607,8892602,7238
2829699,Free Range Chicken,Poultry,Meat & Seafood,8892611,8892602,7238
2839579,Pork Roasts,Pork,Meat & Seafood,8892654,8892647,7238
2850731,Smoked And Cured Fish,Seafood,Meat & Seafood,8892678,8892671,7238
2865262,Marinated & Roast Chicken,Poultry,Meat & Seafood,8892804,8892602,7238
2865273,Marinated & Roast Chicken,Poultry,Meat & Seafood,8892804,8892602,7238
2865295,Ham Portions,Ham,Meat & Seafood,8892636,8892632,7238
2878130,Prepacked Seafood,Seafood,Meat & Seafood,8892677,8892671,7238
2891502,Beef Steaks,Beef & Veal,Meat & Seafood,8892625,8892621,7238
