prodid,brand,name,size,currentprice,fullprice,salespercentage,rawdescription
222782,Coles Deli,Thawed Msc Smoked Cod Fillet,approx. 200g,3.7,0.0,0.0,MSC COLES DELI THAWED SMOKED COD FILLET
2263168,Coles,RSPCA Approved Chicken Breast Fillets Small Pack,approx. 600g,8.7,0.0,0.0,COLES RSPCA CHICKEN BREAST FILLETS SMALL PACK
2263179,Coles,RSPCA Approved Chicken Breast Fillets Large Pack,approx. 1.4kg,15.4,0.0,0.0,COLES RSPCA CHICKEN BREAST FILLETS LARGE PACK
2263260,Coles,RSPCA Approved Chicken Drumsticks,2kg,7.5,0.0,0.0,COLES RSPCA CHICKEN DRUMSTICKS
2263317,Coles,RSPCA Chicken Thigh Fillets Small Pack,approx. 700g,12.25,0.0,0.0,COLES RSPCA CHICKEN THIGH FILLETS SMALL PACK
2263328,Coles,RSPCA Approved Chicken Thigh Fillets Large Pack,approx. 1.2kg,17.4,0.0,0.0,COLES RSPCA CHICKEN THIGH FILLETS LARGE PACK
2263339,Coles,RSPCA Approved Chicken V Wings,approx. 1.1kg,9.9,0.0,0.0,COLES RSPCA CHICKEN V WINGS
2265720,Coles,RSPCA Approved Chicken Lovely Legs,approx. 700g,6.3,0.0,0.0,COLES RSPCA CHICKEN LOVELY LEGS
2268263,Coles,RSPCA Approved Chicken Maryland Supreme,approx. 800g,7.2,0.0,0.0,COLES RSPCA CHICKEN MARYLAND SUPREME
2268365,Coles,RSPCA Approved Chicken Thigh Cutlets,approx. 1.1kg,10.45,0.0,0.0,COLES RSPCA CHICKEN THIGH CUTLETS
2271199,Coles Deli,RSPCA Approved Chicken Breast Fillets Skin Off,approx. 300g,3.6,0.0,0.0,D/L COLES RSPCA APPROVED CHICKEN BREAST FILLETS SKIN OFF 12KG
2271643,Coles Deli,RSPCA Approved Chicken Drumsticks,approx. 160g,0.72,0.0,0.0,D/L COLES RSPCA APPROVED CHICKEN DRUMSTICKS 6 KG
2272715,Coles Deli,RSPCA Approved Chicken Wings,approx. 120g,0.78,0.0,0.0,D/L COLES RSPCA APPROVED CHICKEN WINGS 6KG
2292337,Coles Made Easy,Chicken Puff Pastry Parcels With Parmesan & Garlic,350g,8.0,0.0,0.0,COLES MADE EASY CHICKEN PUFF PASTRY PARCELS WITH PARMESAN & GARLIC
2303750,Lilydale,Free Range Chicken Breast Fillets Bulk Pack,approx. 1kg each,17.5,0.0,0.0,LILYDALE CHICKEN BREAST FILLET BULK
2303772,Lilydale,Free Range Chicken Thigh Fillets Bulk Pack,approx. 900g,18.9,0.0,0.0,LILYDALE CHICKEN THIGH FILLET BULK
2303852,Lilydale,Free Range Chicken Drumsticks Bulk Pack,approx. 1kg each,5.5,7.5,26.67,LILYDALE CHICKEN DRUMSTICKS BULK
2311191,Coles,Beef Roast With Mustard And Black Pepper,approx. 900g,18.9,0.0,0.0,COLES BEEF ROAST WITH MUSTARD AND BLACK PEPPER
2359370,Coles,Pork Fillet,approx. 400g,8.0,8.4,4.76,COLES PORK FILLET WA 9X5
2529470,Coles,Graze Grass Fed Oregano And Parsley Gluten Free Burgers,500g,10.0,0.0,0.0,COLES GRAZE GRASS FED BEEF BURGER 500GRAM
2591860,Drovers Choice,No Added Hormone Beef Porterhouse Steak,approx. 780g,22.23,0.0,0.0,DROVERS CHOICE NO ADDED HORMONE BEEF PORTERHOUSE STEAK PER KG
2591870,Drovers Choice,No Added Hormone Beef Rump Steak,approx. 1.05kg,23.1,0.0,0.0,DROVERS CHOICE NO ADDED HORMONE BEEF RUMP STEAK PER KG
2598520,Cleaver's Organic,Grass-Fed Beef Sausages Gluten Free,450g,11.0,0.0,0.0,CLEAVER'S ORGANIC GRASS-FED BEEF SAUSAGES GLUTEN FREE 450G
2679847,Always Fresh,French Duck Fat Spread,200g,14.0,0.0,0.0,ALWAYS FRESH DUCK FAT 200G
2725456,Coles,Graze Grass Fed Beef Meatballs,420g,7.5,0.0,0.0,COLES GRAZE GRASS FED BEEF MEATBALLS 420GRAM
2727699,Coles,Lamb Boneless Shank Meat,approx. 700g,16.8,0.0,0.0,COLES LAMB BONELESS SHANK MEAT
2736805,Coles,RSPCA Approved Chicken Breast Diced,500g,7.0,8.0,12.5,COLES RSPCA CHICKEN BREAST DICED
2739891,K-Roo,Kangaroo Fillet,400g,15.0,0.0,0.0,K ROO KANGAROO FILLET 400G
2740766,Ocean Blue,Sliced Smoked Ocean Trout,100g,8.5,0.0,0.0,OCEAN BLUE SLICED SMOKED OCEAN TROUT
2741270,Coles,Free Range Pork Loin Chops,approx. 400g,8.8,0.0,0.0,COLES FREE RANGE PORK LOIN CHOPS
2741485,Coles,Free Range Pork Fillet,approx. 500g,14.0,0.0,0.0,COLES FREE RANGE PORK FILLET
