prodid,brand,name,size,currentprice,fullprice,salespercentage,rawdescription
5255381,Kushi,Mango Juice,1L,2.8,4.0,30.0,KUSHI MANGO JUICE 1L
8169912,Obap,Roasted Seaweed Korean Curry Twin Pack,8g,1.8,2.0,10.0,OBAP RSTD SEAWEED KOREAN CURRY TWIN PACK 8GM
5588792,Fantastic,Beef Noodle Cup,70g,1.75,2.5,30.0,FANTASTIC NOODLE CUP:BEEF:.:70 GRAM
1142485,Sirena,Tuna With Beans Mexican,170g,3.7,4.7,21.28,SIRENA TUNA WITH BEANS MEXICAN 170G
9373073,Aeroplane,Lite Pineapple Jelly Crystals 2 pack,18g,2.2,2.5,12.0,AEROPLANE LITE JELLY:PINEAPPLE FLAVOUR:.:2 PACK
1072153,Dolmio,Intensify Roasted Garlic & Aromatic Herbs Pasta Bake Sauce,400g,4.0,4.9,18.37,DOLMIO INTENSIFY ROASTED GARLIC & AROMATIC HERBS PASTA BAKE SAUCE 400G
1279843,Kan Tong,Honey Sesame & Garlic Stir Fry Sauce,520g,3.5,4.0,12.5,KAN TONG HONEY SESAME & GARLIC STIR FRY SAUCE 520G
3714681,Campbell's,Chunky Soup Chilli Beef,505g,3.5,4.5,22.22,CAMPBELLS CHUNKY SOUP CHILLI BEEF 505G
4905947,Campbell's,Chunky Soup Can Irish Stew Style,505g,3.5,4.5,22.22,CAMPBELLS CHUNKY SOUP 505G:IRISH LAMB STEW:.:505 GRAM
5711593,Monika,Philippine Style Chinese Noodles,225g,3.0,3.5,14.29,MONIKA CHINESE NOODLES PHILIPPINE STYLE 225G
6373226,White Wings,In A Cup Cinnamon Doughnut,220g,4.5,6.0,25.0,WHITE WINGS CAKE IN A CUP CINNA DOUGHNUT 220G
7023729,Praise,Mini Thai Beef Salad Dressing,140mL,2.0,2.5,20.0,PRAISE MINI THAI BEEF SALAD DRESSING 140ML
7736675,BSc,Bodyscience Violet Crumble Soft Protein Bar Caramel Honeycomb,55g,3.5,4.8,27.08,BSC BODYSCIENCE VIOLET CRUMBLE SOFT PROTEIN BAR CARAMEL HONEYCOMB 55G
8694275,Heinz,Baked Beans Caramelised Onion Flavour Beans,300GRAM,2.0,2.9,31.03,HEINZ BAKED BEANS CARAMELISED ONION FLAVOUR BEANS 300G
