prodid,aisle,category,subcategory,aisleid,categoryid,subcategoryid
1049366,Coffee Mixes,Coffee,Pantry,19892,19888,10302
1049366,Mixes Coffee,Coffee Drinks,Drinks,98657,98628,11456
8058208,Coffee Mixes,Coffee,Pantry,19892,19888,10302
8058208,Mixes Coffee,Coffee Drinks,Drinks,98657,98628,11456
5030450,Mexican,World Foods,Dietary & World Foods,675105516,674113139,674112512
5030450,Mexican,International Foods,Pantry,8904810,8904802,10302
8622503,Cake & Bread Mixes,Baking,Pantry,8423,8756,10302
8666939,Cake & Bread Mixes,Baking,Pantry,8423,8756,10302
7674228,Breakfast Oats,Breakfast,Pantry,18743,7294,10302
2281239,Cake & Bread Mixes,Baking,Pantry,8423,8756,10302
3789487,Breakfast Cereal,Breakfast,Pantry,18742,7294,10302
3789487,Healthier Start,Breakfast,Pantry,8883600,7294,10302
3984347,Capsules,Coffee,Pantry,19893,19888,10302
3984347,Coffee Capsules,Coffee Drinks,Drinks,98658,98628,11456
6340351,Puddings,Desserts,Pantry,8894204,8894200,10302
9029012,Breakfast Cereal,Breakfast,Pantry,18742,7294,10302
9029012,Family Favourites,Breakfast,Pantry,8883601,7294,10302
3984314,Capsules,Coffee,Pantry,19893,19888,10302
3984314,Coffee Capsules,Coffee Drinks,Drinks,98658,98628,11456
3984336,Capsules,Coffee,Pantry,19893,19888,10302
3984336,Coffee Capsules,Coffee Drinks,Drinks,98658,98628,11456
1279209,Mexican,World Foods,Dietary & World Foods,675105516,674113139,674112512
1279209,Mexican,International Foods,Pantry,8904810,8904802,10302
2869944,Cake & Bread Mixes,Baking,Pantry,8423,8756,10302
4204024,Capsules,Coffee,Pantry,19893,19888,10302
4204024,Coffee Capsules,Coffee Drinks,Drinks,98658,98628,11456
5931782,Mexican,World Foods,Dietary & World Foods,675105516,674113139,674112512
5931782,Mexican,International Foods,Pantry,8904810,8904802,10302
4966431,Pantry,Halal,Dietary & World Foods,675041078,674135336,674112512
4966431,Pancake & Dessert Mixes,Baking,Pantry,8757,8756,10302
4204170,Capsules,Coffee,Pantry,19893,19888,10302
4204170,Coffee Capsules,Coffee Drinks,Drinks,98658,98628,11456
7524190,Mexican,World Foods,Dietary & World Foods,675105516,674113139,674112512
7524190,Mexican,International Foods,Pantry,8904810,8904802,10302
