prodid,brand,name,size,current_price,full_price,raw_description
5494350,Heinz,Seriously Good Garlic Lovers Aioli Mayonnaise,500mL,7.0,0,HEINZ SERIOUSLY GOOD GARLIC LOVERS AIOLI MAYONNAISE 500ML
8093377,Ben's,Original Rice Indonesian Style Nasi Goreng Pouch,250g,4.0,0,BENS ORIGINAL ONE PAN INDONESIAN STYLE NASI GORENG RICE 250G
4727372,Continental,Pasta & Sauce Family Bacon Carbonara,145g,3.8,0,CONTINENTAL PASTA N SAUCE FAMILY:BACON CARBONARA:.:145 GRAM
9821040,Praise,Italian Dressing,330mL,3.6,0,PRAISE DRESSING:ITALIAN:.:330 ML
1688977,Barilla,Pasta Angel Hair,500 g,3.5,0,BARILLA PASTA ANGEL HAIR
8067570,Twinings,Matcha Green Tea Bags,10 pack,3.0,0,TWININGS MATCHA GREEN TEA BAGS 10 PACK
8930323,Twinings,Australian Afternoon Tea Bags 10 Pack,20g,3.0,0,TWININGS TEA BAGS:AUSTRALIAN AFTERNOON TEA:.:10 PACK
6849199,Fountain,Sweet Chilli Sauce,250mL,3.8,0,FOUNTAIN SWEET CHILLI SAUCE 250ML
1274646,Dolmio,Lasagne Bechamel Sauce,490g,4.5,0,DOLMIO LASAGNE BECHAMEL SAUCE
2599624,Barilla,Linguine Pasta,500g,3.5,0,BARILLA PASTA LINGUINE 500G
341770,Twinings,English Breakfast Tea Bags 10 Pack,20g,3.0,0,TWININGS TEA BAGS:ENGLISH BREAKFST:.:10 PACK
3893730,Munchme,Nutritious Snack Pistachio Cranberry,120g,7.5,0,MUNCHME NUTRITIOUS SNACK PISTACHIO CRANBERRY 120G
6545977,Ben's Original,Golden Vegetable Rice Pouch,250g,4.0,0,BEN'S ORIGINAL GOLDEN VEGETABLE MICROWAVE RICE POUCH 250G
8109273,Maggi,Instant Noodles Cup Beef Flavour,58g,2.5,0,MAGGI INSTANT NOODLES CUP BEEF FLAVOUR 58 GRAM
9185175,Barilla,Pasta Flat Fettuccine,500g,3.5,0,BARILLA PASTA FLAT FETTUCCINE 500G
9820943,Praise,Caesar Dressing,330mL,3.6,0,PRAISE DRESSING:CAESAR:.:330ML
2006132,Twinings,Infused Orange & Cinnamon Tea Bags,10 pack,3.0,0,TWININGS INFUSION:ORANGE & CINNAMON:.:10 PACK
3790500,Kellogg's,Pop Tarts Chocotastic 8 Toaster Pastries,384g,7.0,0,KELLOGG'S POP TARTS CHOCOTASTIC 8 TOASTER PASTRIES
3893718,Munchme,Nutritious Snack Almond Blueberry,120g,7.5,0,MUNCHME NUTRITIOUS SNACK ALMOND BLUEBERRY 120G
3893773,Munchme,Nutritious Snack Roasted Almond Cashew,120g,7.5,0,MUNCHME NUTRITIOUS SNACK ROASTED ALMOND CASHEW 120G
4760130,Twinings,Green Tea & Mint Tea Bags,10 pack,3.0,0,TWININGS TEA BAGS GREEN FLAVOURED:GREEN MINT:.:10 PACK
