prodid,aisle,category,subcategory,aisle_id,category_id,subcategory_id
8016853,Nappies,Nappies & Nappy Pants,Baby,8904012,8904002,15603
8017506,Nappies,Nappies & Nappy Pants,Baby,8904012,8904002,15603
8017620,Nappies,Nappies & Nappy Pants,Baby,8904012,8904002,15603
8017641,Nappies,Nappies & Nappy Pants,Baby,8904012,8904002,15603
8017732,Swimmers,Nappies & Nappy Pants,Baby,8904016,8904002,15603
8017776,Swimmers,Nappies & Nappy Pants,Baby,8904016,8904002,15603
8017787,Swimmers,Nappies & Nappy Pants,Baby,8904016,8904002,15603
8017798,Nappy Pants,Nappies & Nappy Pants,Baby,8904013,8904002,15603
8017812,Extra Large Pack,Baby Wipes,Baby,8904214,8904203,15603
8017878,Night Pants,Nappies & Nappy Pants,Baby,8904014,8904002,15603
8017889,Night Pants,Nappies & Nappy Pants,Baby,8904014,8904002,15603
8017925,Nappy Pants,Nappies & Nappy Pants,Baby,8904013,8904002,15603
8017936,Nappy Pants,Nappies & Nappy Pants,Baby,8904013,8904002,15603
8017947,Nappy Pants,Nappies & Nappy Pants,Baby,8904013,8904002,15603
8017958,Nappy Pants,Nappies & Nappy Pants,Baby,8904013,8904002,15603
8017969,Nappy Pants,Nappies & Nappy Pants,Baby,8904013,8904002,15603
8017970,Medium Pack,Baby Wipes,Baby,8904212,8904203,15603
8090390,Baby Cups,Bottles & Feeding,Baby,8904234,8904207,15603
8161455,Baby Bath,Bath & Skincare,Baby,8904215,8904204,15603
8161524,Baby Bottles,Bottles & Feeding,Baby,8904233,8904207,15603
8161590,Baby Bottles,Bottles & Feeding,Baby,8904233,8904207,15603
8383300,Swimmers,Nappies & Nappy Pants,Baby,8904016,8904002,15603
8383333,Swimmers,Nappies & Nappy Pants,Baby,8904016,8904002,15603
8383413,Swimmers,Nappies & Nappy Pants,Baby,8904016,8904002,15603
8391433,Baby Bath,Bath & Skincare,Baby,8904215,8904204,15603
8403623,Baby & Toddler Snacks,Baby & Toddler Food,Baby,8904018,8904003,15603
8403634,Baby & Toddler Snacks,Baby & Toddler Food,Baby,8904018,8904003,15603
8407668,Baby,Organic,Dietary & World Foods,675068241,674135800,674112512
8407668,Baby Food Pouches,Baby & Toddler Food,Baby,8904017,8904003,15603
8407679,Baby,Organic,Dietary & World Foods,675068241,674135800,674112512
8407679,Baby Food Pouches,Baby & Toddler Food,Baby,8904017,8904003,15603
8408150,Chia Seeds And Quinoa,Health Foods & Diet,Dietary & World Foods,675041421,674135563,674112512
8408150,Baby,Organic,Dietary & World Foods,675068241,674135800,674112512
8408150,Baby Food Pouches,Baby & Toddler Food,Baby,8904017,8904003,15603
8408718,Baby,Organic,Dietary & World Foods,675068241,674135800,674112512
8408718,Baby Food Pouches,Baby & Toddler Food,Baby,8904017,8904003,15603
8409110,Baby,Organic,Dietary & World Foods,675068241,674135800,674112512
8409110,Baby & Toddler Snacks,Baby & Toddler Food,Baby,8904018,8904003,15603
8409131,Baby,Organic,Dietary & World Foods,675068241,674135800,674112512
8409131,Baby & Toddler Snacks,Baby & Toddler Food,Baby,8904018,8904003,15603
8409142,Baby,Organic,Dietary & World Foods,675068241,674135800,674112512
8409142,Baby & Toddler Snacks,Baby & Toddler Food,Baby,8904018,8904003,15603
8409164,Baby,Organic,Dietary & World Foods,675068241,674135800,674112512
8409164,Baby & Toddler Snacks,Baby & Toddler Food,Baby,8904018,8904003,15603
8409991,Baby,Organic,Dietary & World Foods,675068241,674135800,674112512
8409991,Baby & Toddler Snacks,Baby & Toddler Food,Baby,8904018,8904003,15603
8410083,Baby,Organic,Dietary & World Foods,675068241,674135800,674112512
8410083,Baby & Toddler Snacks,Baby & Toddler Food,Baby,8904018,8904003,15603
8410287,Baby,Organic,Dietary & World Foods,675068241,674135800,674112512
8410287,Baby & Toddler Snacks,Baby & Toddler Food,Baby,8904018,8904003,15603
8410403,Baby,Organic,Dietary & World Foods,675068241,674135800,674112512
8410403,Baby & Toddler Snacks,Baby & Toddler Food,Baby,8904018,8904003,15603
8416501,Baby,Organic,Dietary & World Foods,675068241,674135800,674112512
8416501,Baby & Toddler Snacks,Baby & Toddler Food,Baby,8904018,8904003,15603
8419350,Baby,Organic,Dietary & World Foods,675068241,674135800,674112512
8419350,Baby & Toddler Snacks,Baby & Toddler Food,Baby,8904018,8904003,15603
8419372,Baby,Organic,Dietary & World Foods,675068241,674135800,674112512
8419372,Baby & Toddler Snacks,Baby & Toddler Food,Baby,8904018,8904003,15603
8420407,Baby,Organic,Dietary & World Foods,675068241,674135800,674112512
8420407,Baby & Toddler Snacks,Baby & Toddler Food,Baby,8904018,8904003,15603
8420509,Baby,Organic,Dietary & World Foods,675068241,674135800,674112512
8420509,Baby & Toddler Snacks,Baby & Toddler Food,Baby,8904018,8904003,15603
8420520,Baby,Organic,Dietary & World Foods,675068241,674135800,674112512
8420520,Baby & Toddler Snacks,Baby & Toddler Food,Baby,8904018,8904003,15603
8421115,Baby,Organic,Dietary & World Foods,675068241,674135800,674112512
8421115,Baby & Toddler Snacks,Baby & Toddler Food,Baby,8904018,8904003,15603
8421170,Baby,Organic,Dietary & World Foods,675068241,674135800,674112512
8421170,Baby & Toddler Snacks,Baby & Toddler Food,Baby,8904018,8904003,15603
8421206,Baby,Organic,Dietary & World Foods,675068241,674135800,674112512
8421206,Baby & Toddler Snacks,Baby & Toddler Food,Baby,8904018,8904003,15603
