prodid,brand,name,size,current_price,full_price,raw_description
8419656,Little Bellies,Organic Banana Pineapple & Coconut Pudding,100GRAM,2.25,2.85,LITTLE BELLIES ORGANIC BANANA- PINEAPPLE & COCONUT PUDDING 100G
2153352,Bellamy's Organic,Pouch Banana Apple Porridge,120g,1.95,2.3,BELLAMYS ORGANIC POUCH BANANA APPLE PORRIDGE 120G
166353,Heinz,Pear Puree Baby Food Jar 4+ Months,110g,1.0,1.2,HEINZ PEAR BABY FOOD JAR 110G 4+ MONTHS
1023260,Karicare+,1 Baby Infant Formula From Birth To 6 Months,900g,20.0,0.0,KARICARE INFANT FORMULA
1023271,Karicare+,2 Baby Follow-on Formula From 6-12 Months,900g,20.0,0.0,KARICARE FOLLOW ON FORMULA
1055460,Huggies,Nappy Pants Size 4 Boy Jumbo 62 Pack,62 Pack,39.0,0.0,HUGGIES JUMBO NAPPY PANTS SIZE 4 BOY JUMBO 62 PACK
1055471,Huggies,Jumbo Nappy Pants Size 4 Girl,62 Pack,39.0,0.0,HUGGIES JUMBO NAPPY PANTS SIZE 4 GIRL JUMBO 62 PACK
1055482,Huggies,Nappy Pants Size 5 Boy Jumbo,54 Pack,39.0,0.0,HUGGIES JUMBO NAPPY PANTS SIZE 5 BOY JUMBO 54 PACK
1055493,Huggies,Jumbo Nappy Pants Size 5 Girl,54 Pack,39.0,0.0,HUGGIES JUMBO NAPPY PANTS SIZE 5 GIRL JUMBO 54 PACK
1055507,Huggies,Nappy Pants Size 6 Boy Jumbo,48 Pack,39.0,0.0,HUGGIES JUMBO NAPPY PANTS SIZE 6 BOY JUMBO 48 PACK
1055518,Huggies,Jumbo Nappy Pants Size 6 Girl,48 Pack,39.0,0.0,HUGGIES JUMBO NAPPY PANTS SIZE 6 GIRL JUMBO 48 PACK
1188464,Only Organic,Vanilla Bean Custard 6+ Months,120g,2.3,0.0,ONLY ORGANICS BABY FOOD 6M+:VANILLA  BEAN CUSTARD:.:120 GRAM
1204560,Rafferty's Garden,Blueberry Banana & Apple Snack Bars Real Fruit Baby Food 8 Pack 12+ Months,128g,5.5,0.0,RAFFERTY'S GARDEN BABY FOOD BLUEBERRY BANANA & APPLE SNACK BARS REAL FRUIT 8 PACK 12+ MONTHS
1223419,Sudocrem,Healing Cream,30g,8.65,0.0,SUDOCREM HEALING CREAM
1315878,Aptamil,Gold+ Lactose Intolerance Baby Infant Formula From Birth to 12 Months,900g,34.0,0.0,APTAMIL GOLD+LACTOSE INTOLERANCE BABY INFANT FORMULA FROM BIRTH TO 12 MONTHS 900G
1499307,WaterWipes,Fragrance Free Sensitive Skin 60 Baby Wipes,60 pack,8.5,0.0,WATERWIPES FRAGRANCE FREE SENSITIVE SKIN 60 BABY WIPES
1514499,Curash,Fragrance Free Sensitive Skin Baby Wipes,240 Pack,14.0,0.0,CURASH FRAGRANCE FREE SENSITIVE SKIN BABY WIPES 240 PACK
1721471,Depend,Real Fit Incontinence Underwear Regular Women Extra Large,8 pack,14.4,0.0,DEPEND ADULTCARE REALFIT WOMEN UNDERWEAR XL
1757560,Only Organic,Apple Peach Apricot Pouch,120g,,,ONLY ORGANICS APPLE PEACH APRICOT
1848155,Heinz,Little Kids Banana Mango Muesli With Greek Style Yoghurt,150g,1.6,0.0,HEINZ LITTLE KIDS 1-3YRS BANANA MANGO MUESLI WITH GREEK STYLE YOGHURT
2011100,Heinz,Apple Blueberry & Strawberry Baby Food 8+ Months,120g,1.6,0.0,HEINZ APPLE- BLUEBERRY & STRAWBERRY BABY FOOD POUCH 120G 8+ MONTHS
2011121,Heinz,Strawberry Vanilla Custard Pouch 8+ Months,120g,1.6,0.0,HEINZ LITTLE TREATS STRAWBERRY & VANILLA CUSTARD BABY FOOD POUCH 120G 8+ MONTHS
2065867,Depend,Real Fit Incontinence Underwear Regular Women Large,8 pack,14.4,0.0,DEPEND ADULTCARE REALFIT WOMEN UNDERWEAR LARGE
2065878,Depend,Real Fit Incontinence Underwear Regular Women Medium,8 pack,14.4,0.0,DEPEND ADULTCARE REALFIT WOMEN UNDERWEAR MEDIUM
2134256,Only Organic,Coconut Banana & Acai Smoothie,100g,2.85,0.0,ONLY ORGANIC COCONUT BANANA & ACAI SMOOTHIE 100G
2134289,Only Organic,Banana Blueberry & Quinoa,120g,2.3,0.0,ONLY ORGANIC BLUEBERRY & QUINOA  POUCH BABY FOOD 120G
2134303,Only Organic,Cauliflower Broccoli & Cheddar,120g,2.3,0.0,ONLY ORGANIC CAULIFLOWER BROCCOLI & CHEDDAR 120G
2134325,Only Organic,Beef Bolognese Pasta 1-5 Years,220g,3.85,0.0,ONLY ORGANIC KINDY 1-5 YEARS BEEF BOLOGNESE PASTA EXPRESS 220G
2134336,Only Organic,Mango & Yoghurt Brekkie Baby Food Pouch 8+ Months,120g,2.3,0.0,ONLY ORGANIC 8MTH+ MANGO & YOGHURT BREKKIE 120G
2134347,Only Organic,Kindy 1-5 Years Vegetable Macaroni & Cheese Pasta Express,220g,3.85,0.0,ONLY ORGANIC KINDY 1-5 YEARS VEGETABLE MACARONI & CHEESE PASTA EXPRESS 220G
2134358,Only Organic,Banana Berries & Yoghurt Brekkie Baby Food Pouch 8+ Months,120g,2.3,0.0,ONLY ORGANIC 8MTH+ BANANA BERRIES & YOGHURT 120G
2134369,Only Organic,Vegetable & Chicken Risotto,220g,3.85,0.0,ONLY ORGANIC VEGE & CHICKEN RISOTTO
2270630,Huggies,Baby Wipes Clutch And Go Unscented,1 pack,8.0,0.0,HUGGIES BABY WIPES CLUTCH AND GO UNSCENTED
2366681,Heinz,Apple Strawberry & Passionfruit Baby Food Pouch 8+ Months,120g,1.6,0.0,HEINZ APPLE STRAWBERRY & PASSIONFRUIT BABY FOOD POUCH 8+ MONTHS 120G
2366740,Heinz,Lamb Pumpkin + Sweet Potato Baby Food Jar 6+ Months,170g,1.6,0.0,HEINZ LAMB- PUMPKIN + SWEET POTATO BABY FOOD JAR 6+ MONTHS 170G
2367367,Little Bellies,Organic Sweet Corn Round-a-bouts,12g,2.0,0.0,LITTLE BELLIES BABY ROUND ABOUTS SWEET CORN 12G
2391601,Johnson's,Gentle Fresh Scented Mild Moisturising Baby Lotion,500mL,11.0,0.0,JOHNSONS BABY LOTION
2459261,Cetaphil,Baby Daily Lotion With Shea Butter,400mL,15.8,0.0,CETAPHIL BABY DAILY LOTION PUMP 400ML
2622464,Depend,Real Fit Incontinence Underwear Super Women Large,8 pack,17.0,0.0,DEPEND REAL FIT FOR WOMEN LARGE SUPER UNDERWEAR 8PACK
2622497,Depend,Real Fit Incontinence Underwear Super Women Extra Large,8 pack,17.0,0.0,DEPEND REAL FIT FOR WOMEN EXTRA LARGE SUPER UNDERWEAR 8PACK
2737386,Tooshies,Eco Wipes Aloe Vera & Chamomile,70 pack,5.5,0.0,TOOSHIES ECO WIPES ALOE VERA & CHAMOMILE 70PK
2737568,Huggies,Thick Baby Wipes Coconut Oil,1 pack,5.0,0.0,HUGGIES BABY WIPES COCONUT 80PK
