prodid,aisle,category,subcategory,aisle_id,category_id,subcategory_id
5749723,Gluten Free,Free From,Dietary & World Foods,675024732,674114623,674112512
5749723,Bakery,Vegan & Vegetarian,Dietary & World Foods,675073922,674136793,674112512
5749723,Digestive Health & Speciality Bread,Packaged Breads,Bakery,8892933,8892909,8892906
5749723,All Packaged Bread,Gluten Free Range,Bakery,8893002,8892918,8892906
5749734,Fodmap Friendly,Free From,Dietary & World Foods,675010715,674114623,674112512
5749734,Gluten Free,Free From,Dietary & World Foods,675024732,674114623,674112512
5749734,Digestive Health & Speciality Bread,Packaged Breads,Bakery,8892933,8892909,8892906
5749734,Gluten Free Packaged Bread,Packaged Breads,Bakery,8892934,8892909,8892906
5749734,All Packaged Bread,Gluten Free Range,Bakery,8893002,8892918,8892906
5750391,Pastries & Danishes,Instore Bakery Sweet Treats,Bakery,8892966,8892913,8892906
5795130,Bakery,Vegan & Vegetarian,Dietary & World Foods,675073922,674136793,674112512
5795130,White Bread,Packaged Breads,Bakery,8892929,8892909,8892906
5827361,White Bread,Packaged Breads,Bakery,8892929,8892909,8892906
5969435,Bakery,Vegan & Vegetarian,Dietary & World Foods,675073922,674136793,674112512
5969435,Wholemeal Bread,Packaged Breads,Bakery,8892930,8892909,8892906
6009530,Bakery,Vegan & Vegetarian,Dietary & World Foods,675073922,674136793,674112512
6009530,Multigrain & Seeded Bread,Packaged Breads,Bakery,8892932,8892909,8892906
6010561,Low GI,Health Foods & Diet,Dietary & World Foods,675043270,674135563,674112512
6010561,Multigrain & Seeded Bread,Packaged Breads,Bakery,8892932,8892909,8892906
6011393,Muffins & Muffin Bars,Packaged Cakes & Sweet Treats,Bakery,8892989,8892916,8892906
6011393,Slices & Bites,Packaged Cakes & Sweet Treats,Bakery,8892994,8892916,8892906
6034275,Crumpet,Packaged Breakfast Snacks,Bakery,8892968,8892914,8892906
6051649,"Pikelets, Pancakes And Crepes",Packaged Breakfast Snacks,Bakery,8892973,8892914,8892906
6201050,Bakery,Vegan & Vegetarian,Dietary & World Foods,675073922,674136793,674112512
6201050,Turkish And Ciabatta,"Packaged Flat Bread, Wraps And Pizza Bases",Bakery,8892956,8892911,8892906
6201060,Bakery,Vegan & Vegetarian,Dietary & World Foods,675073922,674136793,674112512
