prodid,brand,name,size,current_price,full_price,raw_description
7445796,Simply,Regular Potato Chips Sea Salt Cracked Pepper,120g,4.8,0.0,SIMPLY REG POTATO CHIPS 120G:SEA SALT & CRACKE:.:120 GRAM
7445800,Simply,Regular Potato Chips Sour Cream Chives,120g,4.8,0.0,SIMPLY REG POTATO CHIPS 120G:SOUR CREAM & CHIV:.:120 GRAM
7449946,Arnott's,Vita-weat Multigrain Crackers,140g,2.0,0.0,ARNOTTS VITAWEAT MULTIGRAIN CRACKERS:140 GRAM
7450504,Kooee!,Organic Stick Beef Sea Salt,25g,3.45,0.0,KOOEE! ORGANIC STICK BEEF 25G:SEA SALT:.:25 GRAM
7468929,Coles,Crackers Checkers,250g,1.8,0.0,COLES CRACKERS CHECKERS
7481417,Carman's,Popcorn Truffle & Parmesan,100g,6.0,0.0,CARMAN'S POPCORN  100G:TRUFFLE AND PARMESAN:.:100 GRAM
7482395,Oreo,Minis Cookies Variety Bags 18 Pack,367g,7.0,0.0,OREO MULTIPACK COOKIES 18 PACK:MIXED:.:367 GRAM
7483434,McVities,Multipack Mini Biscuits Digestives Plain,390g,6.0,0.0,MCVITIES MULTIPACK MINI BISCUITS:PLAIN:.:390 GRAM
7483558,Sunbites,Crackers Mix Multipack 12 Pack,288g,5.5,0.0,SUNBITES CRACKER MIX MULTIPACK 12 PACK 288G
7484540,Chupa Chups,Mix Of Mini's 35 Pack,290g,5.5,0.0,CHUPA CHUPS MIX OF MINIS 35 PACK 290G
7492399,Harvest Snap,Pea Sour Cream And Chives,120g,5.0,0.0,HARVEST SNAPS PEA SR CREAM AND CHIVES120G
7492435,Thins,Onion Rings Original Salted,85g,3.0,5.0,THINS ONION RINGS 85GRAM:ORIGINAL SALTED:.:85 GRAM
7492446,Thins,Onion Rings Sour Cream And Chives,85g,3.0,5.0,THINS ONION RINGS 85GRAM:SOUR CREAM & CHIVES:.:85 GRAM
7499274,Zappo,Grape,29 GRAM,1.25,0.0,Zappo Grape 29g
7509957,Mother Earth,Golden Oats Baked Oaty Slices,240g,3.3,0.0,MOTHER EARTH OATY SLICES 240G:GOLDEN OATS:.:240 GRAM
7509968,Mother Earth,Raspberry & White Chocolate Baked Oaty Slice,240g,3.3,0.0,MOTHER EARTH OATY SLICES 240G:RASPBERRY WHITE CHOC:.:240 GRAM
7512907,Coles,100's & 1000's Kids Mini Biscuits,200g,2.5,0.0,COLES KIDS BISCUITS MINI 100'S & 1000'S
7522570,Uncle Tobys,Groovy Grape Roll Ups School Lunchbox Snacks,94g,5.5,0.0,UNCLE TOBYS ROLL UPS GROOVY GRAPE 94G
7523914,Cobs,Natural Popcorn Lightly Salted,30g,1.8,0.0,COBS NATURAL POPCORN 30G:LIGHTLY SALTED:.:30 GRAM
7526366,Coles,Choc Coated Peanuts,250g,4.4,0.0,COLES CHOC COATED PEANUTS 250G
7526399,Coles,Chocolate Coated Almonds,250g,4.4,0.0,COLES CHOC COATED ALMONDS 250G
7526446,Coles,Chocolate Coated Sultanas,250g,4.4,0.0,COLES CHOC COATED SULTANAS 250G
7531402,Griffins,Marvels Golden Gaytime Biscuits,165g,6.0,0.0,GRIFFINS MARVELS GOLDEN GAYTIME BISCUITS
7531537,Griffins,Marvels Choc Fudge Brownie Chocolate Biscuits,200g,6.0,0.0,GRIFFINS MARVELS CHOC FUDGE BROWNIE CHOCOLATE BISCUITS
7533882,Coles Deli,Style Potato Chips Honey Soy Chick,175g,3.0,0.0,COLES DELI STYLE POTATO CHIPS 175G:HONEY SOY CHICK:.:175 GRAM
