prodid,brand,name,size,current_price,full_price,raw_description
2800711,Little Bellies,Softcorn Banana,8g,2.0,0.0,LITTLE BELLIES SOFTCORN BANANA
2800799,Little Bellies,Softcorn Berry & Apple,8g,2.0,0.0,LITTLE BELLIES SOFTCORN BERRY & APPLE
2800846,Little Bellies,Apple & Cinnamon Baby Puffs,12g,2.0,0.0,LITTLE BELLIES BABY PUFFS APPLE & CINNAMON
2803425,The Spice Tailor,Classic Lentil Tarka Daal,500g,6.7,0.0,THE SPICE TAILOR CLASSIC LENTIL TARKA DAAL 500G
2803458,The Spice Tailor,Bengali Coconut Lentil Daal,400g,6.7,0.0,THE SPICE TAILOR BENGALI COCONUT LENTIL DAAL 400G
2807142,Vitasoy,Protein Plus,1L,3.0,0.0,VITASOY PROTEIN PLUS 1L
2807164,Pauls,Zymil Full Cream Long Life Milk,1L,3.0,0.0,PAULS ZYMIL FULL CREAM LONG LIFE MILK 1L
2815151,KB,Frozen Vegetable Gyoza,750g,18.0,0.0,KB VEGETABLE GYOZA 750G
2819265,Coldstream Hills,The Hills Pinot Gris 750ml,1 Each,26.0,0.0,COLDSTREAM HILLS THE HILLS PINOT GRIS 750ML:EA
2819855,Cocobella,Chocolate Flavoured Coconut Water,1L,5.5,0.0,COCOBELLA FLAVOURED COCONUT WATER:CHOCOLATE:.:1 LITRE
2823342,Coles Organic,Medjool Dates,227g,7.5,0.0,ORGANIC DATES:MEDJOOL:.:227 GRAM
2834225,Abbott's Bakery,Gluten Free Mixed Seeds Bread,500g,7.9,0.0,ABBOTT'S BAKERY GLUTEN FREE MIXED SEEDS BREAD
2834247,Abbott's Bakery,Gluten Free Soy And Linseed Bread,500g,7.9,0.0,ABBOTT'S BAKERY GLUTEN FREE SOY & LINSEED BREAD
2848398,Coles,Passionfruit & Chia Seed Bites,approx. 100g,3.0,0.0,COLES PASSIONFRUIT AND CHIA SEED BITES:.:PER KG
2858165,Peters,Original Rainbow Ice Cream,2L,5.5,0.0,PETERS ORIGINAL RAINBOW ICE CREAM 2L
2872199,Ching Secret,Hot Garlic Instant Noodles,240g,2.65,0.0,CHINGS HOT GARLIC INSTANT NOODLES 240G
2872213,Ching's,Schezwan Instant Noodles,240g,2.65,0.0,CHINGS SCHEZWAN INSTANT NOODLES 240G
2877090,Carman's,Porridge Sachets Honey Vanilla & Cinnamon 8 Pack,320g,7.5,0.0,CARMAN'S PORRIDGE SACHETS HONEY VANILLA & CINNAMON 8 PACK 320 GRAM
2877104,Carman's,Porridge Sachets Natural 5 Grain & Super Seed 8 Pack,320g,7.5,0.0,CARMAN'S PORRIDGE SACHETS NATURAL 5 GRAIN & SUPER SEED 8 PACK 320 GRAM
2877217,Carman's,Deluxe Gluten Free Almond & Maple Muesli,400g,8.0,0.0,CARMAN'S DELUXE GLUTEN FREE ALMOND & MAPLE MUESLI 400G
2877363,Coldstream Hills,The Hills Pinot Noir 750ml,1 Each,26.0,0.0,COLDSTREAM HILLS THE HILLS PINOT NOIR 750ML:EA
2882578,Chris',Heritage Gluten Free Goat Cheese & Black Truffle Savoury Dip,170g,10.0,0.0,CHRIS' HERITAGE DIP GOATS CHEESE & TRUFFLE 170G
2885521,Stonefire,Original Naan Bread,250g,4.0,0.0,STONEFIRE ORIGINAL NAAN
2885532,Stonefire,Roasted Garlic Naan 2 Pack,250g,4.0,0.0,STONEFIRE GARLIC NAAN
2887855,Extra,Strawberry Sugar Free Chewing Gum,64g,5.0,0.0,EXTRA STRAWBERRY SUGAR FREE CHEWING GUM 64G
2896142,Coles Organic,Unrefined Coconut Oil,250g,4.4,0.0,COLES ORGANIC UNREFINED COCONUT OIL:250G
2896732,Coles I'm Free From,Chocolate Fudge Brownie Mix,450g,4.5,0.0,I'M FREE FROM CHOCOLATE FUDGE BROWNIE MIX 450 GRAM
2898567,Red Tractor,Organic Cacao Powder,300g,17.0,0.0,RED TRACTOR ORGANIC CACAO POWDER 300G
2898807,BSc,Bodyscience High Protein Low Carb Bar Choc Mint,60g,5.0,0.0,BSC BODYSCIENCE HIGH PROTEIN LOW CARB BAR CHOC MINT 60G
