prodid,aisle,category,subcategory,aisle_id,category_id,subcategory_id
5051177,Black,Tea,Pantry,10230,10303,10302
5051177,Pantry,Halal,Dietary & World Foods,675041078,674135336,674112512
5051177,Tea Black,Tea Drinks,Drinks,98647,98627,11456
5055611,Organic Fruit,Fruit,Fruit & Vegetables,1309,1302,2100
5055611,Fruit & Veg,Organic,Dietary & World Foods,675065753,674135800,674112512
5055611,Avocados,Fruit,Fruit & Vegetables,8891811,1302,2100
5055611,Organic Fruits,Organic Fruits & Vegetables,Fruit & Vegetables,8892202,8892201,2100
5055860,Baby,Organic,Dietary & World Foods,675068241,674135800,674112512
5055860,Baby & Toddler Snacks,Baby & Toddler Food,Baby,8904018,8904003,15603
5055940,Baby,Organic,Dietary & World Foods,675068241,674135800,674112512
5055940,Baby & Toddler Snacks,Baby & Toddler Food,Baby,8904018,8904003,15603
5056024,Drinks,Organic,Dietary & World Foods,675068242,674135800,674112512
5056024,Drinks & Powders,Flavoured Milk,Drinks,98644,98626,11456
5056953,Garlic & Ginger,Vegetables,Fruit & Vegetables,579846,1303,2100
5056953,Fruit & Veg,Organic,Dietary & World Foods,675065753,674135800,674112512
5056953,Organic Vegetables,Organic Fruits & Vegetables,Fruit & Vegetables,8892203,8892201,2100
5057311,Bakery,Vegan & Vegetarian,Dietary & World Foods,675073922,674136793,674112512
5057311,Loaf Cakes,Packaged Cakes & Sweet Treats,Bakery,8892988,8892916,8892906
5057683,Bakery,Vegan & Vegetarian,Dietary & World Foods,675073922,674136793,674112512
5057683,Sponge Rolls & Cake Bars,Packaged Cakes & Sweet Treats,Bakery,8892990,8892916,8892906
5057708,Bakery,Vegan & Vegetarian,Dietary & World Foods,675073922,674136793,674112512
5057708,Sponge Rolls & Cake Bars,Packaged Cakes & Sweet Treats,Bakery,8892990,8892916,8892906
5059237,Black,Tea,Pantry,10230,10303,10302
5059237,Pantry,Halal,Dietary & World Foods,675041078,674135336,674112512
5059237,Tea Black,Tea Drinks,Drinks,98647,98627,11456
5066946,Frozen,Halal,Dietary & World Foods,675040518,674135336,674112512
5066946,Chips,Frozen Chips & Wedges,Frozen,85620,85991,85471
5067064,Healthy Snacks,Health Foods & Diet,Dietary & World Foods,675043217,674135563,674112512
5067064,Veggie Sausages & Burgers,Vegan & Vegetarian,Dietary & World Foods,675083144,674136793,674112512
5067064,Vegetarian Snacking,Vegetarian & Vegan,"Dairy, Eggs & Fridge",8894401,4778877,1300
5072836,Bakery,Vegan & Vegetarian,Dietary & World Foods,675073922,674136793,674112512
5072836,Rye Bread,Packaged Breads,Bakery,8892931,8892909,8892906
5074219,Healthy Snacks,Health Foods & Diet,Dietary & World Foods,675043217,674135563,674112512
5074219,"Energy, Sports Drinks & Supplements",Sports Nutrition,Dietary & World Foods,675071005,674136101,674112512
5074219,Protein Bars & Snacks,Sports Nutrition,Dietary & World Foods,675072210,674136101,674112512
5074219,Protein Bars & Balls,Health Foods Sports Nutrition & Diet,Pantry,8895603,8895600,10302
5075583,Healthy Snacks,Health Foods & Diet,Dietary & World Foods,675043217,674135563,674112512
5075583,"Energy, Sports Drinks & Supplements",Sports Nutrition,Dietary & World Foods,675071005,674136101,674112512
