prodid,brand,name,size,current_price,full_price,raw_description
9169601,Tuckers,Multi Fibre Snacks Rosemary & Sea Salt,150g,3.9,4.4,TUCKERS CRACKERS: ROSEMARY & SEA SALT:.:150 GRAM
9194482,Youfoodz,Fueld Mexican Chicken Burrito,404g,10.8,12.0,YOUFOODZ FUELD MEXICAN CHICKEN BURRITO BOWL 404G
9194573,Youfoodz Fueld,Beef Stroganoff & Pasta,405 GRAM,10.8,12.0,YOUFOODZ FUELD BEEF STROGANOFF WITH PASTA 405G
9194584,Youfoodz,Fueld Texas BBQ Chicken With Mash Potato,405g,10.8,12.0,YOUFOODZ FUELD TEXAS BBQ CHICKEN WITH MASH POTATO 405G
9211209,Hercules,Freezerguard Resealable Large Slider Bags,20 Pack,4.3,4.8,HERCULES FREEZERGUARD RESEALABLE LARGE SLIDER BAGS 20 PACK
9223616,Streets,Paddle Pop Twister Mini Tropical 6 Pack,330mL,7.0,8.0,STREETS PADDLE POP TWISTER MINI TROPICAL 6 PACK 330ML
9240998,Destination Italy,Tiramisu Gelato,500mL,11.0,12.5,DESTINATION ITALY TIRAMISU GELATO 500ML
9279337,Daily Juice,Blends Sunset Bliss,1L,4.0,4.5,DAILY JUICE BLENDS SUNSET BLISS 1L
9317378,Lynx,Deodorant Body Spray Sunset Fresh,165mL,5.0,8.0,LYNX DEODORANT BODY SPRAY SUNSET FRESH 165ML
9321965,Lynx,Body Wash Africa,400mL,5.0,7.5,LYNX BODY WASH AFRICA 400ML
9322287,Lynx,Body Wash Black,400mL,5.0,7.5,LYNX BODY WASH BLACK 400ML
9322298,Lynx,Body Wash Ice Chill,400mL,5.0,7.5,LYNX BODY WASH ICE CHILL 400ML
9392023,Vanish,Napisan Oxi Action Fabric Stain Remover Powder,1kg,10.0,11.5,VANISH NAPISAN OXI ACTION FABRIC STAIN REMOVER POWDER 1KG
9466800,Masterfoods,Herbs And Spices Onion Powder Jar,44g,3.5,3.8,MASTERFOODS ONION POWDER 44G
9467009,Masterfoods,Ground Nutmeg,35g,3.5,3.8,MASTERFOODS GROUND NUTMEG 35G
9467982,Masterfoods,Moroccan Spice Blend,52g,3.5,4.5,MASTERFOODS MOROCCAN SPICE BLEND 52G
9468624,Masterfoods,Roast Vegetable Seasoning Sprinkle Jar,42g,3.5,4.0,MASTERFOODS ROAST VEGETABLE SEASONING 42G JAR
9562134,Hylo,Fresh Eye Drops,7.5mL,23.0,27.0,HYLO FRESH EYE DROPS 7.5ML
9567466,Nurofen,Zavance Mini Liquid Caps,16 Pack,7.5,8.0,NUROFEN ZAVANCE MINI LIQUID CAPS 16PK
9571463,Zyrtec,Kids Chewable Grape,10 Pack,12.5,14.0,ZYRTEC KIDS CHEWABLE GRAPE 10PK
9583371,Dimetapp,Cough Cold & Flu Elderberry & Ivy Leaf,200mL,18.5,22.0,DIMETAPP COUGH COLD & FLU ELDERBERRY & IVY LEAF 200ML
9672198,Chux,Heavy Duty Scourer + Foam Sponge,3 pack,2.8,3.5,CHUX HEAVY DUTY SCOURER FOAM SPONGE 3PK
9701489,Edgell,Australian Grown Chick Peas,400g,1.8,2.2,EDGELL AUSTRALIAN GROWN CHICKPEAS 400G
9718506,Nanna's,Frozen Apple Crumble,550g,5.0,6.5,NANNAS FROZEN CRUMBLE:APPLE:.:550GRAM
9756119,MasterFoods,Portuguese Chicken Seasoning,50g,3.5,4.5,MASTERFOODS PORTUGESE CHICKEN SEASONING MEDIUM:.:50 GRAM
9906903,Atkins,Low Carb Endulge Bar Chocolate Coconut 5x40g,200g,13.6,17.0,ATKINS LOW CARB ENDULGE BAR CHOCOLATE COCONUT 5X40G 200G
9917218,Benefiber,Natural Fibre Powder,261g,17.0,19.0,BENEFIBER NATURAL FIBRE POWDER 261G
9936187,Palmolive,Kids 3 in 1 Merry Strawberry Shampoo Conditioner & Bodywash,700mL,7.0,9.0,PALMOLIVE 3 IN 1 KIDS MERRY BERRY
9946646,Atkins,Endulge Milk Choc Malt Bites 5x30g,150g,13.6,17.0,ATKINS ENDULGE MILK CHOC MALT BITES 5X30G 150G
9949600,Hylo,Forte Eye Drops,7.5mL,27.0,32.0,HYLO FORTE EYE DROPS 7.5ML
9962290,Oxyshred,Infinity Energy Drink Strawberry Sunrise,355mL,4.0,4.9,OXYSHRED INFINITY ENERGY DRINK STRAWBERRY SUNRISE 355ML
