prodid,aisle,category,subcategory,aisle_id,category_id,subcategory_id
3038928,Sports Drink,Sports Drinks,Drinks,98641,98625,11456
3038939,Sports Drink,Sports Drinks,Drinks,98641,98625,11456
3047758,Soft Drink Bottles,Soft Drinks,Drinks,8893441,98621,11456
3047769,Soft Drink Bottles,Soft Drinks,Drinks,8893441,98621,11456
3047780,Soft Drink Bottles,Soft Drinks,Drinks,8893441,98621,11456
3048681,Plastic Juice Bottles,Juice,Drinks,8893448,98624,11456
3050071,All Cordials,Cordials,Drinks,98634,98622,11456
3050082,All Cordials,Cordials,Drinks,98634,98622,11456
3050107,All Cordials,Cordials,Drinks,98634,98622,11456
3050118,All Cordials,Cordials,Drinks,98634,98622,11456
3058313,Drinks,Vegan & Vegetarian,Dietary & World Foods,675075656,674136793,674112512
3058313,Flavoured Water,Water,Drinks,98638,98623,11456
3079186,Black,Tea,Pantry,10230,10303,10302
3079186,Tea Black,Tea Drinks,Drinks,98647,98627,11456
3079200,Black,Tea,Pantry,10230,10303,10302
3079200,Tea Black,Tea Drinks,Drinks,98647,98627,11456
3081268,Herbal,Tea,Pantry,19884,10303,10302
3081268,Tea Herbal,Tea Drinks,Drinks,98652,98627,11456
3081280,Herbal,Tea,Pantry,19884,10303,10302
3081280,Tea Herbal,Tea Drinks,Drinks,98652,98627,11456
3081315,Black,Tea,Pantry,10230,10303,10302
3081315,Tea Black,Tea Drinks,Drinks,98647,98627,11456
3118313,Fresh Juice,Chilled Juice,"Dairy, Eggs & Fridge",693421910,693421331,1300
3118313,Chilled Juice,Juice,Drinks,98640,98624,11456
3160150,Drinks & Powders,Flavoured Milk,Drinks,98644,98626,11456
3160150,Drinking Chocolate,Flavoured Milk,Drinks,98645,98626,11456
3160171,Drinks & Powders,Flavoured Milk,Drinks,98644,98626,11456
3175260,Drinks & Powders,Flavoured Milk,Drinks,98644,98626,11456
3179657,Long-Life-Milk,Long Life-Milk,"Dairy, Eggs & Fridge",8895201,8895200,1300
3179657,Long Life Milk,Long-Life Milk,Drinks,98660,98629,11456
3179680,Protein Drinks & Shakes,Sports Nutrition,Dietary & World Foods,675073004,674136101,674112512
3179680,Long-Life-Milk,Long Life-Milk,"Dairy, Eggs & Fridge",8895201,8895200,1300
3179680,Long Life Milk,Long-Life Milk,Drinks,98660,98629,11456
3180441,Drinks & Powders,Flavoured Milk,Drinks,98644,98626,11456
3180441,Drinking Chocolate,Flavoured Milk,Drinks,98645,98626,11456
3180474,Drinks & Powders,Flavoured Milk,Drinks,98644,98626,11456
3183097,Drinks,Halal,Dietary & World Foods,675040493,674135336,674112512
3183097,Fresh Juice,Chilled Juice,"Dairy, Eggs & Fridge",693421910,693421331,1300
3183097,Chilled Juice,Juice,Drinks,98640,98624,11456
3183847,Fresh Juice,Chilled Juice,"Dairy, Eggs & Fridge",693421910,693421331,1300
3183847,Chilled Juice,Juice,Drinks,98640,98624,11456
3183880,Fresh Juice,Chilled Juice,"Dairy, Eggs & Fridge",693421910,693421331,1300
3183880,Chilled Juice,Juice,Drinks,98640,98624,11456
3184704,Fresh Juice,Chilled Juice,"Dairy, Eggs & Fridge",693421910,693421331,1300
3184704,Chilled Juice,Juice,Drinks,98640,98624,11456
3187473,On the Go,Chilled Juice,"Dairy, Eggs & Fridge",693421495,693421331,1300
3187473,Chilled Juice,Juice,Drinks,98640,98624,11456
3192495,Multipack Cans,Energy Drinks,Drinks,8893444,8893442,11456
3208074,Capsules,Coffee,Pantry,19893,19888,10302
3208074,Pantry,Halal,Dietary & World Foods,675041078,674135336,674112512
3208074,Coffee Capsules,Coffee Drinks,Drinks,98658,98628,11456
3208085,Capsules,Coffee,Pantry,19893,19888,10302
3208085,Pantry,Halal,Dietary & World Foods,675041078,674135336,674112512
3208085,Coffee Capsules,Coffee Drinks,Drinks,98658,98628,11456
3208165,Instant Coffee,Coffee,Pantry,19890,19888,10302
3208165,Coffee Instant,Coffee Drinks,Drinks,98655,98628,11456
3208290,Ground Coffee,Coffee,Pantry,19889,19888,10302
3208290,Drinks,Organic,Dietary & World Foods,675068242,674135800,674112512
3208290,Coffee Ground,Coffee Drinks,Drinks,98654,98628,11456
3208347,Ground Coffee,Coffee,Pantry,19889,19888,10302
3208347,Coffee Ground,Coffee Drinks,Drinks,98654,98628,11456
3208722,Capsules,Coffee,Pantry,19893,19888,10302
3208722,Coffee Capsules,Coffee Drinks,Drinks,98658,98628,11456
3209077,Coffee Accessories,Coffee,Pantry,19894,19888,10302
3209077,Accessories Coffee,Coffee Drinks,Drinks,98659,98628,11456
3210000,Drinks,Organic,Dietary & World Foods,675068242,674135800,674112512
3210000,Kombucha & Coconut Water,Chilled Juice,"Dairy, Eggs & Fridge",693422410,693421331,1300
3210000,Chilled Juice,Juice,Drinks,98640,98624,11456
3224886,Capsules,Coffee,Pantry,19893,19888,10302
3224886,Coffee Capsules,Coffee Drinks,Drinks,98658,98628,11456
3243541,Soft Drink Bottles,Soft Drinks,Drinks,8893441,98621,11456
3243563,Soft Drink Bottles,Soft Drinks,Drinks,8893441,98621,11456
3247291,Green,Tea,Pantry,19880,10303,10302
3247291,Tea Green,Tea Drinks,Drinks,98648,98627,11456
3247451,Organic,Tea,Pantry,19883,10303,10302
3247451,Pantry,Halal,Dietary & World Foods,675041078,674135336,674112512
3247451,Tea Organic,Tea Drinks,Drinks,98651,98627,11456
3247510,Herbal,Tea,Pantry,19884,10303,10302
3247510,Drinks,Organic,Dietary & World Foods,675068242,674135800,674112512
3247510,Tea Herbal,Tea Drinks,Drinks,98652,98627,11456
3247520,Herbal,Tea,Pantry,19884,10303,10302
3247520,Drinks,Organic,Dietary & World Foods,675068242,674135800,674112512
3247520,Tea Herbal,Tea Drinks,Drinks,98652,98627,11456
3247542,Herbal,Tea,Pantry,19884,10303,10302
3247542,Drinks,Organic,Dietary & World Foods,675068242,674135800,674112512
3247542,Tea Herbal,Tea Drinks,Drinks,98652,98627,11456
3248760,Herbal,Tea,Pantry,19884,10303,10302
3248760,Tea Herbal,Tea Drinks,Drinks,98652,98627,11456
3248771,Herbal,Tea,Pantry,19884,10303,10302
3248771,Tea Herbal,Tea Drinks,Drinks,98652,98627,11456
