prodid,brand,name,size,current_price,full_price,raw_description
6421566,Kirks,Zero Sugar Orange Soft Drink Cans 10x375ml,10 pack,15.0,0.0,KIRKS SOFT DRINK 10X375ML:ORANGE:SUGAR FREE:10 PACK
6476660,Sodastream,Carbonating Bottle Dishwasher Safe,2 pack,17.5,0.0,SODASTREAM CARBONATING BOTTLE DISHWASHER SAFE 2PK
6481794,Soda Stream,Quick Connect Pink Gas Cylinder,1 each,36.0,0.0,SODASTREAM QUICK CONNECT PINK GAS CYLINDER
6495391,Daley Street,Freeze Dried Instant Coffee,100g,6.0,9.0,DALEY STREET FREEZE DRIED INSTANT COFFEE 100G
6501290,Sanitarium,So Good Barista Soy Uht,1L,3.0,0.0,SANITARIUM SO GOOD BARISTA SOY UHT 1LITRE
6501304,Sanitarium,So Good Extra Creamy Oat Milk,1L,2.8,0.0,SANITARIUM SO GOOD OAT MILK EXTRA CREAMY 1LITRE
6501315,Sanitarium,So Good Oat Milk Chocolate,1L,3.5,0.0,SANITARIUM SO GOOD OAT MILK CHOCOLATE 1LITRE
6502566,Happy Happy,Soy Boy Milk,1L,4.8,0.0,HAPPY HAPPY SOY BOY MILK 1LITRE
6506589,Australia's Own,Cholesterol Lowering Milk,1L,2.8,0.0,AUSTRALIA'S OWN CHOLESTEROL LOWERING MILK 1LITRE
6526906,Mother,Original Energy Drink Can,500mL,3.3,0.0,MOTHER ENERGY DRINK 500ML:ORIGINAL
6684146,Pureharvest,Organic Long Life Oat Milk,1L,3.0,0.0,PUREHARVEST MILK OAT ORGANIC
6706012,Liddells,Lactose Free Full Cream Milk,1L,2.7,3.0,LIDDELLS MILK LACTOSE FREE:REGULAR:.:1 LITRE
6764653,Ocean Spray,Pure Cranberry Juice,1L,8.0,0.0,OCEAN SPRAY PURE CRANBERRY JUICE 1L
6772298,Jarrah,Drinking Chocolate,115g,8.5,0.0,JARRAH DRINKING CHOCOLATE:CHOCOLATE:.:115 GRAM
6811221,Twinings,Lemon & Ginger Infusions Tea Bags 40 Pack,60g,8.5,0.0,TWININGS HERBAL INFUSIONS:.:LEMON GINGER:40 PACK
6811254,Twinings,Pure Peppermint Herbal Infusions Tea Bags 40 Pack,80g,8.5,0.0,TWININGS PURE PEPPERMINT INFUSIONS TEA BAGS 40 PACK
6818989,Twinings,English Breakfast Tea Bags 50 pack,100g,8.5,0.0,TWININGS TEA BAGS:ENGLISH BREAKFST:.:50 PACK
6822217,Twinings,Earl Grey Tea Bags 50 Pack,100g,8.5,0.0,TWININGS TEA BAGS:EARL GREY:.:50 PACK
6823333,Mother,Energy Drink Lava Guava Can,500mL,3.3,0.0,MOTHER ENERGY DRINK 500ML:GUAVA:.:500 ML
6823898,Golden Circle,Fruit Drink Pineapple Burst 250ml,6 pack,5.1,0.0,GOLDEN CIRCLE FRUIT DRINK PINEAPPLE BURST:6 PACK
6835015,Moccona,Classic Dark Roast Instant Coffee,400g,37.5,0.0,MOCCONA CLASSIC COFFEE:FREEZE DRIED DARK:.:400GRAM
6851099,Lavazza,Qualita Oro Medium Roast Smooth Coffee Beans,500g,32.0,0.0,LAVAZZA QULITY ORO COFFEE BEANS 500G
6907295,Mother,Original Multipack Cans 4x500ml,4 pack,8.9,0.0,MOTHER ENERGY DRINK ORIGINAL 4X500ML
6909461,Golden Circle,Sunshine Punch Fruit Drink,1L,2.7,0.0,GOLDEN CIRCLE TETRA DRINK:SUNSHINE PUNCH:.:1 LITRE
6910391,Golden Circle,Sunshine Punch Fruit Drink Lunch Box Multipack Poppers 6x250ml,6 pack,5.1,0.0,GOLDEN CIRCLE TETRA 250ML DRINK.:SUNSHINE PUNCH:.:6 PACK
6914188,Pop Tops,Apple Poppers Fruit Drink 30% Juice Poppers Multipack Lunch Box Bottles 250ml X 6 Pack,6 pack,5.9,0.0,POP TOPS 250ML DRINK:APPLE:.:6 PACK
6934039,Lindt,Hot Chocolate Flake Milk Tin,210g,13.0,0.0,LINDT HOT CHOC FLAKE MILK TIN 210G
6963503,V,Energy Drink Original,500mL,4.25,0.0,V ENERGY DRINK ORIGINAL:500 ML
7014331,Mount Franklin,Spring Water Bottle,600mL,2.35,0.0,MOUNT FRANKLIN CHILLED SPRING WATER NATURAL 600ML
7014590,Grove,Mandarin Juice,1.5L,6.95,7.95,GROVE JUICE MANDARIN 1.5L
7016075,Grove Juice,Orange With Pulp,1.5L,6.95,7.95,GROVE JUICE ORANGE WITH PULP 1.5L
7016097,Grove Juice,Orange Mango Pineapple Apple Passionfruit,1.5L,6.95,7.95,GROVE JUICE ORANGE MANGO PINEAPPLE APPLE PASSIONFRUIT 1.5L
7016100,Grove Juice,Orange Pulp Free,1.5L,6.95,0.0,GROVE JUICE ORANGE PULP FREE 1.5L
7016417,Nudie,Nothing But Kids Apple Juice,200mL,2.3,0.0,NUDIE NOTHING BUT KIDS APPLE JUICE 200ML
7016494,Nudie,Nothing But Kids Tropical Juice,200mL,2.3,0.0,NUDIE NOTHING BUT KIDS TROPICAL JUICE 200ML
7016520,Nudie,Nothing But Kids Orange Juice,200mL,2.3,0.0,NUDIE NOTHING BUT KIDS ORANGE JUICE 200ML
7016541,Nudie,Tropical Breakfast Juice,1L,6.2,0.0,NUDIE TROPICAL BREAKFAST JUICE 1L
7016610,Nudie,Watermelon Juice,2L,9.0,0.0,NUDIE JUICE WATERMELON 2L
7017781,Impressed,Cold Pressed Jack Rose Juice,1L,5.5,0.0,IMPRESSED COLD PRESSED JACK ROSE JUICE 1L
7018354,Impressed,Cold Pressed Pine Lime,1L,5.5,0.0,IMPRESSED COLD PRESSED PINE LIME 1L
7032628,Bonvit,Tea Bags Dandelion,32 pack,9.0,0.0,BONVIT TEA BAGS DANDELION 32 PACK
7035874,Remedy,Sodaly Blood Orange 4x250ml,4 pack,5.9,0.0,SODALY 4X250ML:BLOOD ORANGE:.:4 PACK
7035900,Remedy,Kombucha Passionfruit,1.25L,5.95,8.95,REMEDY KOMBUCHA 1.25L:PASSIONFRUIT:.:1.25 LITRE
7074311,Nippy's,Orange Juice Unsweetened Chilled,2L,6.5,8.0,NIPPYS ORANGE:UNSWEETEND JUICE:2LITRE
7081055,Califia Farms,Barista Oat Milk Uht 1litre,1L,5.5,0.0,CALIFIA FARMS BARISTA OAT UHT MILK 1L
7083061,Coles,Spring Water,4L,3.8,0.0,COLES SPRING WATER 4L
7125660,Nescafe,Cappuccino Decaf Coffee Sachets,26 Pack,12.5,0.0,NESCAFE CAPPUCCINO DECAF COFFEE SACHETS 26 PACK
7144778,Solo,Thirst Crusher Original Lemon Soft Drink Bottle,600mL,4.0,0.0,SCHWEPPES DRINK:SOLO LEMON:.:600ML
