prodid,aisle,category,subcategory,aisle_id,category_id,subcategory_id
403765,Convenience Meals,Frozen Meals,Frozen,85624,89177,85471
403765,Pizzas,Frozen Pizza & Bases,Frozen,85654,85617,85471
412799,Egg Free,Free From,Dietary & World Foods,675007331,674114623,674112512
412799,Soy Free,Free From,Dietary & World Foods,675024759,674114623,674112512
412799,Convenience Meals,Frozen Meals,Frozen,85624,89177,85471
412802,Convenience Meals,Frozen Meals,Frozen,85624,89177,85471
413179,Pies & Quiches,Frozen Pastry & Party Food,Frozen,85650,85616,85471
413179,Party Food,Frozen Pastry & Party Food,Frozen,85651,85616,85471
4192537,Ice Cream Sticks,Ice Cream,Frozen,85638,85614,85471
4204002,Mixed Vegetables,Frozen Vegetables,Frozen,85658,85618,85471
4227336,Pies & Quiches,Frozen Pastry & Party Food,Frozen,85650,85616,85471
4227347,Pies & Quiches,Frozen Pastry & Party Food,Frozen,85650,85616,85471
4227358,Pies & Quiches,Frozen Pastry & Party Food,Frozen,85650,85616,85471
4233248,Ice Cream Sticks,Ice Cream,Frozen,85638,85614,85471
4233248,Frozen Desserts,"Dairy, Chilled & Frozen",Down Down,8915867,8906011,8906007
4233259,Ice Cream Sticks,Ice Cream,Frozen,85638,85614,85471
428154,Egg Free,Free From,Dietary & World Foods,675007331,674114623,674112512
428154,Frozen,Halal,Dietary & World Foods,675040518,674135336,674112512
428154,Frozen,Vegan & Vegetarian,Dietary & World Foods,675077296,674136793,674112512
428154,Corn,Frozen Vegetables,Frozen,85656,85618,85471
4284759,Seafood Frozen,Frozen Fish & Seafood,Frozen,85633,85612,85471
4285117,Seafood Frozen,Frozen Fish & Seafood,Frozen,85633,85612,85471
4285172,Seafood Frozen,Frozen Fish & Seafood,Frozen,85633,85612,85471
4285194,Seafood Frozen,Frozen Fish & Seafood,Frozen,85633,85612,85471
4314871,Frozen,Vegan & Vegetarian,Dietary & World Foods,675077296,674136793,674112512
4314871,Convenience Meals,Frozen Meals,Frozen,85624,89177,85471
4314871,Party Food,Frozen Pastry & Party Food,Frozen,85651,85616,85471
4314962,Chicken Pieces & Nuggets,"Frozen Chicken, Beef & Pork",Frozen,85645,85615,85471
4314973,Chicken Pieces & Nuggets,"Frozen Chicken, Beef & Pork",Frozen,85645,85615,85471
4314995,Chicken Pieces & Nuggets,"Frozen Chicken, Beef & Pork",Frozen,85645,85615,85471
4315014,Chicken Pieces & Nuggets,"Frozen Chicken, Beef & Pork",Frozen,85645,85615,85471
4315546,Chicken Pieces & Nuggets,"Frozen Chicken, Beef & Pork",Frozen,85645,85615,85471
4315557,Chicken Pieces & Nuggets,"Frozen Chicken, Beef & Pork",Frozen,85645,85615,85471
4320604,Frozen Asian Foods,Frozen World Food,Frozen,8905202,8905201,85471
4327320,Veggie Chicken & Meat,Vegan & Vegetarian,Dietary & World Foods,675082822,674136793,674112512
4327320,All Plant Based,Frozen Vegan & Vegetarian,Frozen,8911001,8911000,85471
4327341,Veggie Chicken & Meat,Vegan & Vegetarian,Dietary & World Foods,675082822,674136793,674112512
4327341,All Plant Based,Frozen Vegan & Vegetarian,Frozen,8911001,8911000,85471
4327352,Veggie Chicken & Meat,Vegan & Vegetarian,Dietary & World Foods,675082822,674136793,674112512
4327352,All Plant Based,Frozen Vegan & Vegetarian,Frozen,8911001,8911000,85471
4327363,Veggie Chicken & Meat,Vegan & Vegetarian,Dietary & World Foods,675082822,674136793,674112512
4327363,All Plant Based,Frozen Vegan & Vegetarian,Frozen,8911001,8911000,85471
4344963,Fish Fingers & Cakes,Frozen Fish & Seafood,Frozen,85631,85612,85471
