prodid,brand,name,size,current_price,full_price,raw_description
5746849,Coles,Chicken Breast Dino Nuggets,1kg,9.0,0.0,COLES CHICKEN BREAST DINO NUGGETS 1KG
5749880,KB's,Panko Crumbed Pre-fried Prawns,1kg,26.0,0.0,KB'S PANKO CRUMBED PRE-FRIED PRAWNS 1KG
5777401,Coles Kitchen,Cauliflower Cheese Bake,800g,6.6,0.0,COLES KITCHEN CAULIFLOWER CHEESE  BAKE 800G
5778120,Crops,Frozen Mixed Fruit Blend,1kg,11.0,0.0,CROPS FROZEN MIXED FRUIT BLEND 1KG
5826992,Coles,Frozen Shortcrust Pastry 5 Pack,1 Kg,4.0,0.0,COLES PASTRY 5 PACK FROZEN:SHORTCRUST:.:1 KG
5854386,Bulla,Creamy Classic Sandwichs Cookies & Cream,560mL,10.0,0.0,BULLA CREAMY CLASSIC ICE CREAM SANDWICHES COOKIES & CREAM 4PK
5892308,Bulla,Splits Ice Cream Selection 10 pack,750mL,9.0,0.0,BULLA SPLITS 10PK FZ SELECTION:.:750 ML
5978334,Mai Hong,Frozen Spring Roll Pastry Sheets 20 Pack,250g,3.3,0.0,MAI HONG FROZEN PASTRY SPRING ROLL 20 SHT
5989910,Tegels,Take Out Crunchy Chicken Burger,550g,13.0,0.0,TEGELS TAKE-OUT CRUNCHY CHICKEN BURGER 550G
5991525,Fropro,Protein Buffalo Chicken Pizza,325g,12.95,0.0,FROPRO PROTEIN BUFFALO CHICKEN PIZZA 325G
6068969,Coles,Frozen Australian Potato Chunky Wedges,750g,4.5,0.0,COLES FROZEN AUSTRALIAN POTATO CHUNKY WEDGES
6079240,Patties,Frozen Party 30 Pack,1250g,18.0,0.0,PATTIES 30PK FROZEN PARTY PACK
6107459,Hanabi,Surimi Crispy Tofu Balls,500g,5.0,0.0,HANABI SURIMI CRISPY TOFU BALLS 500G
6109975,Coles,Frozen Fruit Raspberries,500g,7.0,0.0,COLES FROZEN FRUIT RASPBERRIES 500GRAM
6110023,Coles,Frozen Fruit Blueberries,500g,5.7,0.0,COLES FROZEN FRUIT BLUEBERRIES 500G
6115592,Coles Simply,Beef Lasagne,375g,2.8,0.0,COLES SIMPLY BEEF LASAGNE:375G
6143703,Peters,Maxibon Caramel Roughnut Ice Cream 4 Pack,560mL,11.5,0.0,PETERS MAXIBON CARAMEL ROUGHNUT ICE CREAM 4 PACK 560ML
6143714,Peters,Maxibon Honeycomb This Ice Cream 4 Pack,560mL,11.5,0.0,PETERS MAXIBON HONEYCOMB THIS ICE CREAM 4PK 560ML
6143736,Peters,Maxibon Ice Cream Monster Cookie 4 Pack,560mL,11.5,0.0,PETERS MAXIBON MONSTER COOKIE ICE CREAM 4 PACK 560ML
6143747,Peters,Maxibon Ice Cream Original Vanilla 4 pack,560mL,11.5,0.0,PETERS MAXIBON ORIGINAL VANILLA ICE CREAM 4 PACK 560ML
6143769,Peters,Maxibon Thats Mint Ice Cream 4 Pack,560mL,11.5,0.0,PETERS MAXIBON THATS MINT ICE CREAM 4 PACK 560ML
6143780,Cadbury,Dairy Milk Vanilla Ice Cream,460mL,10.5,0.0,CADBURY DAIRY MILK VANILLA ICE CREAM 460ML
6143791,Cadbury,Dairy Milk Caramello Ice Cream,460mL,10.5,0.0,CADBURY DAIRY MILK CARAMELLO ICE CREAM 460ML
6149437,Streets,Golden Gaytime Vanilla Malt Shake 4 Pack,400mL,10.0,0.0,STREETS GOLDEN GAYTIME VANILLA MALT SHAKE 4PK 400ML
6272400,Connoisseur,Classic Vanilla Ice Cream 4 Pack,400mL,12.0,0.0,CONNOISSEUR CLASSIC VANILLA ICE CREAM 4 PACK 400ML
6277787,Reese's,Twin Pack Peanut Butter & Chocolate 4 Pack,360mL,10.0,0.0,REESES PEANUT BUTTER & CHOC TWIN 4PK
6324821,Coles,Frozen Chicken Breast Nuggets,400g,4.4,0.0,COLES CHICKEN BREAST NUGGETS 400GRAM
6362730,Pampas,Butter Puff Frozen Pastry,550g,6.0,6.6,PAMPAS BUTTER PUFF FROZEN PASTRY 550G
6408739,KB's,Cooked Prawns Tail Off,1kg,32.0,0.0,KB'S COOKED PRAWNS TAIL OFF 1KG
6408740,KB's,Cooked Garlic Prawns,500g,15.0,0.0,KB'S COOKED GARLIC PRAWNS 500G
6442431,Coles Finest,Parmentier Potatoes With Herb Butter,500g,4.5,0.0,COLES FINEST PARMENTIER POTATOES WITH HERB BUTTER 500G
6447413,Coles,Chicken & Vegetables Pies 4 pack,700g,5.6,0.0,COLES CHICKEN & VEGETABLES PIES 4PK 700G
6477470,Coles,Frozen Straight Cut Chips,1kg,3.8,0.0,COLES FROZEN STRAIGHT CUT CHIPS 1KG
6477549,Coles,Frozen French Fries,1kg,3.8,0.0,COLES FROZEN FRENCH FRIES 1KG
6477550,Coles,Frozen Crinkle Cut Chips,1kg,3.8,0.0,COLES FROZEN CRINKLE CUT CHIPS 1KG
6509918,Coles,Frozen Fruit Black Forest Mix,500g,6.5,0.0,COLES FROZEN FRUIT BLACK FOREST MIX 500G
6510054,Bamboostick,Red Bean,390g,7.5,0.0,BAMBOOSTICK RED BEAN 390G
6510123,Seng Hork,Beef Dumplings,500g,8.0,0.0,SENG HORK BEEF DUMPLINGS 500G
6510145,Seng Hork,Prawn & Pork Dumplings,500g,8.0,0.0,SENG HORK PRAWN & PORK DUMPLINGS 500G
6512093,Binggrae Melona,Melon Ice Bar 4 Pack,280mL,7.0,0.0,BINGGRAE MELONA MELON ICE BAR 4PK
6517064,Pie Society,Plant Based Party Pack,960g,12.9,0.0,PIE SOCIETY PLANT BASED PARTY PK 960G
6521673,Kb's,Pork Soup Dumpling,750g,18.0,0.0,KB PORK SOUP DUMPLING 750G
6522552,McCain,Red Box Tray Tuna Mornay,400g,5.6,0.0,MCCAIN RED BOX TRAY:TUNA MORNAY:.:400 GRAM
6544588,Coles Finest,French Tartlets,125g,10.0,0.0,COLES FINEST FRENCH TARTLETS 125G
6544602,Coles Kitchen,Atlantic Salmon Side With Light Pepper & Herb Crust,700g,26.0,0.0,COLES KITCHEN ATLANTIC SALMON SIDE WITH LIGHT PEPPER & HERB CRUST 700G
6545263,Coles,Frozen Fish Bites,330g,4.4,0.0,COLES FROZEN FISH BITES 330G
6557841,McCain,Frozen Healthy Choice Lemon Chicken,350g,4.5,5.0,MCCAIN HEALTHY CHOICE TRAY:CHICKEN LEMON:.:350 GRAM
6609388,Steggles,Habanero Chicken Wings,1kg,13.5,0.0,STEGGLES HABANERO CHICKEN WINGS 1KG
