prodid,aisle,category,subcategory,aisle_id,category_id,subcategory_id
5191256,Berries & Cherries,Fruit,Fruit & Vegetables,1701,1302,2100
5191256,Fruit,Best of Spring,Fruit & Vegetables,699689418,699689408,2100
5900530,Fruit,Best of Spring,Fruit & Vegetables,699689418,699689408,2100
5900530,Avocados,Fruit,Fruit & Vegetables,8891811,1302,2100
6979376,Kiwi Fruit,Fruit,Fruit & Vegetables,1708,1302,2100
4425883,Kiwi Fruit,Fruit,Fruit & Vegetables,1708,1302,2100
5318302,Lemons & Limes,Fruit,Fruit & Vegetables,3109,1302,2100
1499340,Lettuce & Mixed Leaf,Packaged Salad,Fruit & Vegetables,8893803,8893800,2100
4575321,Herbs & Chillies,Salad & Herbs,Fruit & Vegetables,74564,1304,2100
5750960,Mushrooms,Vegetables,Fruit & Vegetables,545641,1303,2100
5750960,Vegetables,Best of Spring,Fruit & Vegetables,699689507,699689408,2100
8209722,Vegetables,Best of Spring,Fruit & Vegetables,699689507,699689408,2100
8209722,Lettuce & Mixed Leaf,Packaged Salad,Fruit & Vegetables,8893803,8893800,2100
1499475,Lettuce & Mixed Leaf,Packaged Salad,Fruit & Vegetables,8893803,8893800,2100
197594,Lemons & Limes,Fruit,Fruit & Vegetables,3109,1302,2100
4829860,Mushrooms,Vegetables,Fruit & Vegetables,545641,1303,2100
4829860,Vegetables,Best of Spring,Fruit & Vegetables,699689507,699689408,2100
4575161,Herbs & Chillies,Salad & Herbs,Fruit & Vegetables,74564,1304,2100
5450831,Lettuce & Mixed Leaf,Packaged Salad,Fruit & Vegetables,8893803,8893800,2100
5515278,Slaws & Salad Kits,Packaged Salad,Fruit & Vegetables,8893801,8893800,2100
4574920,Herbs & Chillies,Salad & Herbs,Fruit & Vegetables,74564,1304,2100
4829420,Mushrooms,Vegetables,Fruit & Vegetables,545641,1303,2100
4829420,Vegetables,Best of Spring,Fruit & Vegetables,699689507,699689408,2100
4575514,Herbs & Chillies,Salad & Herbs,Fruit & Vegetables,74564,1304,2100
2787974,Slaws & Salad Kits,Packaged Salad,Fruit & Vegetables,8893801,8893800,2100
5464290,Lettuce & Mixed Leaf,Packaged Salad,Fruit & Vegetables,8893803,8893800,2100
3214612,Herbs & Chillies,Salad & Herbs,Fruit & Vegetables,74564,1304,2100
2790390,Slaws & Salad Kits,Packaged Salad,Fruit & Vegetables,8893801,8893800,2100
3214780,Herbs & Chillies,Salad & Herbs,Fruit & Vegetables,74564,1304,2100
3215171,Herbs & Chillies,Salad & Herbs,Fruit & Vegetables,74564,1304,2100
3214769,Herbs & Chillies,Salad & Herbs,Fruit & Vegetables,74564,1304,2100
3858943,Slaws & Salad Kits,Packaged Salad,Fruit & Vegetables,8893801,8893800,2100
3016302,Salads Dressed,Packaged Salad,Fruit & Vegetables,8893802,8893800,2100
3214747,Herbs & Chillies,Salad & Herbs,Fruit & Vegetables,74564,1304,2100
2674606,Vegetables,Best of Spring,Fruit & Vegetables,699689507,699689408,2100
2674606,Lettuce & Mixed Leaf,Packaged Salad,Fruit & Vegetables,8893803,8893800,2100
3214521,Herbs & Chillies,Salad & Herbs,Fruit & Vegetables,74564,1304,2100
3615657,Slaws & Salad Kits,Packaged Salad,Fruit & Vegetables,8893801,8893800,2100
3016299,Salads Dressed,Packaged Salad,Fruit & Vegetables,8893802,8893800,2100
1116601,Herbs & Chillies,Salad & Herbs,Fruit & Vegetables,74564,1304,2100
3214725,Herbs & Chillies,Salad & Herbs,Fruit & Vegetables,74564,1304,2100
3214576,Herbs & Chillies,Salad & Herbs,Fruit & Vegetables,74564,1304,2100
3015977,Slaws & Salad Kits,Packaged Salad,Fruit & Vegetables,8893801,8893800,2100
5485993,Slaws & Salad Kits,Packaged Salad,Fruit & Vegetables,8893801,8893800,2100
3869699,Slaws & Salad Kits,Packaged Salad,Fruit & Vegetables,8893801,8893800,2100
3858896,Slaws & Salad Kits,Packaged Salad,Fruit & Vegetables,8893801,8893800,2100
4575569,Herbs & Chillies,Salad & Herbs,Fruit & Vegetables,74564,1304,2100
3015966,Slaws & Salad Kits,Packaged Salad,Fruit & Vegetables,8893801,8893800,2100
5747863,Herbs & Chillies,Salad & Herbs,Fruit & Vegetables,74564,1304,2100
5040192,Lettuce & Mixed Leaf,Packaged Salad,Fruit & Vegetables,8893803,8893800,2100
5040240,Slaws & Salad Kits,Packaged Salad,Fruit & Vegetables,8893801,8893800,2100
6051547,Slaws & Salad Kits,Packaged Salad,Fruit & Vegetables,8893801,8893800,2100
3593430,Thai,World Foods,Dietary & World Foods,675108470,674113139,674112512
3593430,Herbs & Chillies,Salad & Herbs,Fruit & Vegetables,74564,1304,2100
3016288,Salads Dressed,Packaged Salad,Fruit & Vegetables,8893802,8893800,2100
1116703,Herbs & Chillies,Salad & Herbs,Fruit & Vegetables,74564,1304,2100
