prodid,brand,name,size,current_price,full_price,raw_description
7719177,Garnier,Vitamin C Micellar Cleansing Water,125ML,9.0,0.0,GARNIER VITAMIN C MICELLAR CLEANSING WATER 125ML
7719188,L'Oreal,Paris Revitalift Hyaluronc Plumping Serum,15mL,36.0,0.0,L'OREAL PARIS REVITALIFT HYALURONIC PLUMPING SERUM 15ML
7719246,Garnier,Vitamin C Micellar Cleansing Water,700mL,26.5,0.0,GARNIER VITAMIN C MICELLAR CLEASNING WATER 700ML
7749236,Garnier,Pure Active Charcoal Cleansing Gel,250mL,20.0,0.0,GARNIER PURE ACTIVE CHARCOAL CLEANSING GEL 250ML
7749451,Fess,Original Nasal Saline Spray,30mL,12.25,0.0,FESS ORIGINAL NASAL SALINE SPRAY 30ML
7749575,VoltaNatra,Natural Pain Relief Cream,50g,11.0,14.5,VOLTANATRA NATURAL PAIN RELIEF CREAM 50G
7749826,Demazin,Hayfever Relief Loratadine,10 pack,10.0,0.0,DEMAZIN HAYFEVER RELIEF LORATADINE 10PK
7749939,Hot Hands,Cura Heat Neck & Shoulder Patch,1 pack,3.5,0.0,HOT HANDS CURA HEAT NECK & SHOULDER PATCH 1PK
7749950,Salt & Co,Magnesium Flakes Sleeping Beauty,750g,12.0,0.0,SALT & CO MAGNESIUM FLAKES SLEEPING BEAUTY 750G
7749961,Salt & Co,Magnesium Flakes + Msm,750g,12.0,0.0,SALT & CO MAGNESIUM FLAKES + MSM 750G
7750020,Strepsil,Herbal Chesty Cough Lozenge Honey Lemon,32 pack,15.0,0.0,STREPSIL HERBAL CHESTY COUGH LOZENGE HONEY LEMON 32PK
7750075,Touchbio,3 In 1 Home Test Kit RSV- Flu A&B- Covid 19,2 pack,24.0,0.0,TOUCHBIO 3 IN 1 HOME TEST KIT RSV- FLU A&B- COVID 19 2PK
7750122,E.l.f.,Poreless Face Primer,14mL,16.0,0.0,E.L.F PORELESS FACE PRIMER 14ML
7750133,E.l.f.,Power Grip Primer,24mL,24.0,0.0,E.L.F. POWER GRIP PRIMER 24ML
