prodid,aisle,category,subcategory,aisle_id,category_id,subcategory_id
8399322,Colouring,Hair Care,Health & Beauty,14447,14459,15083
8399548,Colouring,Hair Care,Health & Beauty,14447,14459,15083
8399581,Colouring,Hair Care,Health & Beauty,14447,14459,15083
8399592,Colouring,Hair Care,Health & Beauty,14447,14459,15083
8409470,Self-Tanning,Skin Care,Health & Beauty,14487,14533,15083
8409492,Self-Tanning,Skin Care,Health & Beauty,14487,14533,15083
8409506,Self-Tanning,Skin Care,Health & Beauty,14487,14533,15083
8409539,Self-Tanning,Skin Care,Health & Beauty,14487,14533,15083
8409550,Self-Tanning,Skin Care,Health & Beauty,14487,14533,15083
8409561,Self-Tanning,Skin Care,Health & Beauty,14487,14533,15083
8414051,Gut Health,Health Foods & Diet,Dietary & World Foods,675042643,674135563,674112512
8414051,Antacid & Indigestion,First Aid & Medicinal,Health & Beauty,8907403,8907402,15083
8414732,Bandages & Strapping,First Aid & Medicinal,Health & Beauty,8907405,8907402,15083
8414787,Bandages & Strapping,First Aid & Medicinal,Health & Beauty,8907405,8907402,15083
8415269,Bandages & Strapping,First Aid & Medicinal,Health & Beauty,8907405,8907402,15083
8422990,Colouring,Hair Care,Health & Beauty,14447,14459,15083
8423030,Colouring,Hair Care,Health & Beauty,14447,14459,15083
8432858,Bubble Bath & Salts,Shower & Bath Care,Health & Beauty,14546,14598,15083
8473505,Lips,Cosmetics,Health & Beauty,8907401,14267,15083
8473516,Lips,Cosmetics,Health & Beauty,8907401,14267,15083
8473549,Lips,Cosmetics,Health & Beauty,8907401,14267,15083
8480023,Cleansers & Skincare Wipes,Skin Care,Health & Beauty,14527,14533,15083
8485537,Concealer & Foundation,Cosmetics,Health & Beauty,8907400,14267,15083
8485560,Concealer & Foundation,Cosmetics,Health & Beauty,8907400,14267,15083
8485581,Concealer & Foundation,Cosmetics,Health & Beauty,8907400,14267,15083
8486948,Concealer & Foundation,Cosmetics,Health & Beauty,8907400,14267,15083
8486959,Concealer & Foundation,Cosmetics,Health & Beauty,8907400,14267,15083
8491609,Continence Pads,Continence Care,Health & Beauty,8907806,8907419,15083
8496646,Nails,Cosmetics,Health & Beauty,14268,14267,15083
8497048,Nails,Cosmetics,Health & Beauty,14268,14267,15083
8505758,Lips,Cosmetics,Health & Beauty,8907401,14267,15083
8508280,Pads,Period Care,Health & Beauty,8892809,8892806,15083
8528549,Tablets & Capsules,Vitamins & Supplements,Health & Beauty,835060756,8907425,15083
8528549,Energy Support,Vitamins & Supplements,Health & Beauty,8907432,8907425,15083
8605537,Toothpaste,Dental Care,Health & Beauty,14279,14345,15083
8605537,Sensitive Toothpaste,Dental Care,Health & Beauty,601089297,14345,15083
8627948,Treatments,Hair Care,Health & Beauty,8907418,14459,15083
8632020,Shampoo & Conditioner,Hair Care,Health & Beauty,8907417,14459,15083
8632766,Shampoo & Conditioner,Hair Care,Health & Beauty,8907417,14459,15083
8640039,Cleansers & Skincare Wipes,Skin Care,Health & Beauty,14527,14533,15083
8640039,Facial Tissues,"Toilet Paper, Tissues & Paper Towels",Household,8891805,8891801,14003
8640141,Cleansers & Skincare Wipes,Skin Care,Health & Beauty,14527,14533,15083
8640141,Facial Tissues,"Toilet Paper, Tissues & Paper Towels",Household,8891805,8891801,14003
8649587,"Gel, Mousse & Styling",Hair Care,Health & Beauty,14413,14459,15083
8653289,Tablets & Capsules,Vitamins & Supplements,Health & Beauty,835060756,8907425,15083
8653289,Bone And Joint Health,Vitamins & Supplements,Health & Beauty,8907428,8907425,15083
8653584,Tablets & Capsules,Vitamins & Supplements,Health & Beauty,835060756,8907425,15083
8653584,Bone And Joint Health,Vitamins & Supplements,Health & Beauty,8907428,8907425,15083
8653700,Tablets & Capsules,Vitamins & Supplements,Health & Beauty,835060756,8907425,15083
8653755,Tablets & Capsules,Vitamins & Supplements,Health & Beauty,835060756,8907425,15083
8653755,Bone And Joint Health,Vitamins & Supplements,Health & Beauty,8907428,8907425,15083
8656855,Colouring,Hair Care,Health & Beauty,14447,14459,15083
8657825,Treatments,Hair Care,Health & Beauty,8907418,14459,15083
8680077,"Gel, Mousse & Styling",Hair Care,Health & Beauty,14413,14459,15083
8680077,Kids Hair Care,Hair Care,Health & Beauty,620287739,14459,15083
8684963,Medicinal Oils & Ointments,First Aid & Medicinal,Health & Beauty,8907411,8907402,15083
8684963,Pain Relief,First Aid & Medicinal,Health & Beauty,8907414,8907402,15083
8685810,Bandages & Strapping,First Aid & Medicinal,Health & Beauty,8907405,8907402,15083
8685810,Bandaids,First Aid & Medicinal,Health & Beauty,8907406,8907402,15083
