prodid,brand,name,size,current_price,full_price,raw_description
3790908,Dr Beckmann,Glowhite Ultra 2x40g,80g,6.4,8.0,DR BECKMAN GLOWHITE ULTRA 2X40G
7039831,Jelly Belly,Hanging Very Cherry,1 pack,4.9,7.0,JELLY BELLY 3D HANGING VERY CHERRY 1PK
3938770,Post-it,Super Sticky Notes Miami,3 pack,4.8,6.0,POST-IT SUPER STICKY NOTES MIAMI 3 PACK
3963915,Air Wick,Eucalyptus & Freesia Air Freshener Room Spray,236mL,6.8,8.0,AIR WICK ODOUR NEUTRALISING SPRAY EUCALYPTUS & FREESIA 236 ML
5009330,Easy Off Bam,Bathroom Power Cleaning Foam,590g,5.7,8.5,EASY OFF BAM BATHROOM POWER CLEANING FOAM
3936898,Bic,Kids Turn & Colour Crayons,12 pack,6.16,8.8,BIC KIDS TURN & COLOUR CRAYONS 12 PACK
3582649,Decor,Lunch Break Ice Wall Small,2 pack,5.6,8.0,DECOR LUNCH BREAK ICEWALL
1842250,DryLine,Correction Tape I Mini,3 pack,5.56,7.95,DRYLINE CORRECTION TAPE I MINI
8053598,Quilton,Large N Thick Hypo Allergenic Facial Tissues 96 Pack,96 pack,2.55,3.2,QUILTON LARGE N THICK HYPO ALLERGENIC FACIAL TISSUES 96 PACK
1062659,Palmolive,Ultra Concentrated Dishwashing Liquid Mango Magic,500mL,3.5,5.0,PALMOLIVE ULTRA CONCENTRATED DISHWASHING LIQUID MANGO MAGIC 500ML
3310300,Glad,Snap Lock Sandwich Bags,50 pack,3.0,4.0,GLAD SNAP LOCK SANDWICH BAGS 50PK
5408755,Hot Wheels,Basic Car Assorted,1 pack,3.0,3.75,HOT WHEELS BASIC CAR ASSORTED
7535083,Chux,Wondercloth Kitchen Cloth,3 pack,5.0,6.0,CHUX KITCHEN WONDER CLOTH:REGULAR:.:3 PACK
7761934,Cook & Dine,Obsidian Dinner Plates,2 pack,7.0,10.0,COOK & DINE OBSIDIAN DINNER PLATES
7761945,Cook & Dine,Obsidian Cereal Bowls,2 pack,7.0,10.0,COOK & DINE OBSIDIAN CEREAL BOWLS
8925152,Scholl,Shock Reducer Everyday Insole,1 each,7.0,10.0,SCHOLL SHOCK REDUCER EVERYDAY INSOLE
4253904,Jelly Belly,3D Air Freshener Tutti Fruitti,1 pack,4.9,7.0,JELLY BELLY 3D AIR FRESHENER TUTTI FRUITTI
2795270,Bostik,Glu Stik 21g,2 pack,4.88,6.1,BOSTIK BLU STIK 21G TWIN PACK
3963890,Air Wick,Fresh Dew & Jasmine Air Freshener Room Spray,236mL,6.8,8.0,AIR WICK ODOUR NEUTRALISING SPRAY FRESH DEW & JASMINE 236 ML
1842261,Paper Mate,Liquid Paper Dryline Grip Correction Tape,1 each,4.2,6.0,LIQUID PAPER DRYLINE CORRECTION TAPE
3314796,Glen 20,Summer Garden Disinfectant Spray,300g,5.7,9.5,GLEN 20 DISINFECTANT SPRAY SUMMER GARDEN 300 GRAM
3879207,Bic,Kids Evolution Illusion Colouring Pencils,12 pack,6.16,8.8,BIC KIDS EVOLUTION ILLUSION COLOURING PENCILS 12 PACK
3785555,Sharpie,S-gel Pens Black,2 pack,5.6,8.0,SHARPIE S-GEL PENS BLACK 2PK
4289468,Oakwood,Stone Benchtop 3 In 1 Cleaner,500mL,6.0,7.5,OAKWOOD STONE BENCHTOP 3 IN 1 CLEANER 500ML
8002666,Mclintocks,Vanilla Fresh Wipes,100 pack,6.5,10.0,MCLINTOCKS VANILLA FRESH WIPES 100PK
