prodid,aisle,category,subcategory,aisle_id,category_id,subcategory_id
1061612,All Airfreshners,Air Fresheners & Home Fragrance,Household,8898634,8898633,14003
1061645,All Airfreshners,Air Fresheners & Home Fragrance,Household,8898634,8898633,14003
2732076,Fabric Softener,Laundry,Household,12984,13095,14003
2732076,Stain Removal & Pre-Wash,Laundry,Household,13065,13095,14003
1149280,All Airfreshners,Air Fresheners & Home Fragrance,Household,8898634,8898633,14003
1149327,All Airfreshners,Air Fresheners & Home Fragrance,Household,8898634,8898633,14003
3033185,Toilet Cleaning,Cleaning Goods,Household,8898615,13228,14003
3380564,Mugs & Cups,Homewares,Household,11976,12113,14003
3380564,Plates & Bowls,Homewares,Household,12004,12113,14003
3380564,Containers & Tubs,Food Storage,Household,12203,12255,14003
5445627,Lawncare & Plant Food,Garden,Household,13434,13514,14003
3514682,"Dishwasher Tablets, Powder & Gel",Dishwashing,Household,12940,12938,14003
4557308,Garden Pests,Pest Control,Household,13974,13970,14003
5445660,Potting Mix & Fertilizer,Garden,Household,13264,13514,14003
5445660,Insecticide & Weed Control,Garden,Household,13457,13514,14003
116650,Dishwasher Additives,Dishwashing,Household,12939,12938,14003
116650,"Dishwasher Tablets, Powder & Gel",Dishwashing,Household,12940,12938,14003
3783298,Home Storage,Homewares,Household,12048,12113,14003
3783298,Food Tubs & Containers,Kitchen,Household,8898618,12164,14003
3743409,Dishwashing Liquid,Dishwashing,Household,12941,12938,14003
1063141,"Dishwasher Tablets, Powder & Gel",Dishwashing,Household,12940,12938,14003
3739194,Garden Pests,Pest Control,Household,13974,13970,14003
4224291,Toilet Cleaning,Cleaning Goods,Household,8898615,13228,14003
6824620,Containers & Tubs,Food Storage,Household,12203,12255,14003
6824620,Food Tubs & Containers,Kitchen,Household,8898618,12164,14003
7080744,Potting Mix & Fertilizer,Garden,Household,13264,13514,14003
7080744,Insecticide & Weed Control,Garden,Household,13457,13514,14003
8129339,Toilet Cleaning,Cleaning Goods,Household,8898615,13228,14003
6573123,Dishwashing Liquid,Dishwashing,Household,12941,12938,14003
3744693,Toilet Cleaning,Cleaning Goods,Household,8898615,13228,14003
5793850,Potting Mix & Fertilizer,Garden,Household,13264,13514,14003
5793850,Insecticide & Weed Control,Garden,Household,13457,13514,14003
3380531,Food Tubs & Containers,Kitchen,Household,8898618,12164,14003
4232008,Containers & Tubs,Food Storage,Household,12203,12255,14003
4232008,Food Tubs & Containers,Kitchen,Household,8898618,12164,14003
7318835,Fabric Softener,Laundry,Household,12984,13095,14003
7318835,Stain Removal & Pre-Wash,Laundry,Household,13065,13095,14003
3629083,Stain Removal & Pre-Wash,Laundry,Household,13065,13095,14003
3629083,Laundry Accessories,Laundry,Household,13296,13095,14003
7823022,Dishwashing Liquid,Dishwashing,Household,12941,12938,14003
8129441,Toilet Cleaning,Cleaning Goods,Household,8898615,13228,14003
7991399,All Airfreshners,Air Fresheners & Home Fragrance,Household,8898634,8898633,14003
7991413,All Airfreshners,Air Fresheners & Home Fragrance,Household,8898634,8898633,14003
8136550,Fabric Softener,Laundry,Household,12984,13095,14003
8136550,Stain Removal & Pre-Wash,Laundry,Household,13065,13095,14003
1063130,Dishwashing Liquid,Dishwashing,Household,12941,12938,14003
3208697,Dishwashing Liquid,Dishwashing,Household,12941,12938,14003
3744671,Toilet Cleaning,Cleaning Goods,Household,8898615,13228,14003
3744682,Toilet Cleaning,Cleaning Goods,Household,8898615,13228,14003
4232074,Food Tubs & Containers,Kitchen,Household,8898618,12164,14003
5150124,Toilet Cleaning,Cleaning Goods,Household,8898615,13228,14003
7823226,Dishwashing Liquid,Dishwashing,Household,12941,12938,14003
9895895,"Mops, Buckets & Brooms",Cleaning Goods,Household,25315,13228,14003
9895895,Cleaning Accessories,Cleaning Goods,Household,8898616,13228,14003
2818025,Food Tubs & Containers,Kitchen,Household,8898618,12164,14003
3744707,Toilet Cleaning,Cleaning Goods,Household,8898615,13228,14003
4224360,Toilet Cleaning,Cleaning Goods,Household,8898615,13228,14003
6420144,Toilet Cleaning,Cleaning Goods,Household,8898615,13228,14003
6420224,Toilet Cleaning,Cleaning Goods,Household,8898615,13228,14003
6432880,Toilet Cleaning,Cleaning Goods,Household,8898615,13228,14003
8129645,Toilet Cleaning,Cleaning Goods,Household,8898615,13228,14003
3743410,Dishwashing Liquid,Dishwashing,Household,12941,12938,14003
