prodid,brand,name,size,current_price,full_price,raw_description
7650649,Victoria Bitter,Low Carb Bottle 375ml,6 Pack,20.0,23,VICTORIA BITTER LOW CARB BOTTLE 375ML:PACK6
7652495,Tradie,Ginger Beer Can 375ml,16 Pack,65.0,0,TRADIE GINGER BEER CAN 375ML:CTN16
7652520,Tradie,Ginger Beer Can 375ml,4 Pack,17.0,0,TRADIE GINGER BEER CAN 375ML:PACK4
7657182,Monteiths,Crushed Apple Cider Bottle 330ml,4 Pack,17.0,0,MONTEITHS CRUSHED APPLE CIDER BOTTLE 330ML:PACK4
7657251,Monteiths,Crushed Apple Cider Bottle 330ml,24 Pack,76.0,0,MONTEITHS CRUSHED APPLE CIDER BOTTLE 330ML:CTN24
7665624,Bundaberg,Zero Sugar & Cola Can 375ml,6 Pack,31.0,0,BUNDABERG ZERO SUGAR & COLA CAN 375ML:PACK6
7665646,Bundaberg,Zero Sugar & Cola Can 375ml,24 Pack,113.0,0,BUNDABERG ZERO SUGAR & COLA CAN 375ML:CTN24
7670599,Bundaberg,Campfire Bourbon Barrel Rum & Cola Can 375ml,24 Pack,145.0,0,BUNDABERG CAMPFIRE BOURBON BARREL RUM & COLA CAN 375ML:CTN24
7670602,Bundaberg,Campfire Bourbon Barrel Rum & Cola Can 375ml,4 Pack,31.0,0,BUNDABERG CAMPFIRE BOURBON BARREL RUM & COLA CAN 375ML:PACK4
7671252,Heineken,Bottle 330ml 12 Pack,12 Pack,33.0,0,HEINEKEN BOTTLE 330ML 12 PACK:PACK12
7671285,Kirin Hyoketsu,Peach Can 330ml,24 Pack,128.0,0,KIRIN HYOKETSU PEACH CAN 330ML:CTN24
7671310,Kirin Hyoketsu,Peach Can 330ml,4 Pack,25.0,28,KIRIN HYOKETSU PEACH CAN 330ML:PACK4
7671740,Peroni,Nastro Azzurro Stile Capri Bottle 330ml,24 Pack,65.0,0,PERONI NASTRO AZZURRO STILE CAPRI BOTTLE 330ML:CTN24
7671751,Peroni,Nastro Azzurro Stile Capri Bottle 330ml,6 Pack,23.0,0,PERONI NASTRO AZZURRO STILE CAPRI BOTTLE 330ML:PACK6
7677690,Stone & Wood,Hinterland Hazy Pale Can 375ml,16 Pack,71.0,0,STONE & WOOD HINTERLAND HAZY PALE CAN 375ML:CTN16
7678295,Stone & Wood,Pacific Ale Bottle 330ml,24 Pack,87.0,0,STONE & WOOD PACIFIC ALE BOTTLE 330ML:CTN24
7686464,BLCK Vodka,1.125l,1 Each,67.0,0,BLCK VODKA 1.125L:EA
7686533,Somersby,Super Crisp Apple Cider Can 375ml 10 Pack,10 Pack,34.0,0,SOMERSBY SUPER CRISP APPLE CIDER CAN 375ML 10PK:PACK10
7686635,-196,Double Peach 6% Can 330ml,24 Pack,132.0,0,-196 DOUBLE PEACH 6% CAN 330ML:CTN24
7686668,-196,Double Peach 6% Can 330ml,4 Pack,27.0,0,-196 DOUBLE PEACH 6% CAN 330ML:PACK4
7695206,Howler Head,Bourbon And Cola Can 330ml,24 Pack,135.0,0,HOWLER HEAD BOURBON AND COLA CAN 330ML:CTN24
7705795,Lorry Boys,Low Carb Lager Can 375ml,4 Pack,12.9,0,LORRY BOYS LOW CARB LAGER CAN 375ML:PACK4
7706437,Lorry Boys,Mid Strength Hazy Pale Ale Can 375ml,4 Pack,11.9,0,LORRY BOYS MID STRENGTH HAZY PALE ALE CAN 375ML:PACK4
7717240,Carlton,Draught Lemonade Bottle 330ml,24 Pack,51.0,0,CARLTON DRAUGHT LEMONADE BOTTLE 330ML:CTN24
7739403,Tinnies,Howzat Hazy Pale Ale 3.5% Can 375ml,4 Pack,12.9,0,TINNIES HOWZAT HAZY PALE ALE 3.5% CAN 375ML:PACK4
7740730,Hard Rated,Can 375ml,24 Pack,121.0,0,HARD RATED CAN 375ML:CTN24
7740832,Hard Rated,Zero Sugar Can 375ml,24 Pack,121.0,0,HARD RATED ZERO SUGAR CAN 375ML:CTN24
7851403,Lucky Sod,Irish Whiskey Honeycomb Liqueur 700ml,1 Each,55.0,0,LUCKY SOD IRISH WHISKEY HONEYCOMB LIQUEUR 700ML:EA
7865984,CBCo,Pale Ale Can 375ml,16 Pack,64.5,0,CBCO PALE ALE CAN 375ML:CTN16
7866047,CBCo,Ipa Can 375ml,16 Pack,73.0,0,CBCO IPA CAN 375ML:CTN16
7927119,Rekorderlig,Strawberry & Lime Cider Bottle 500ml,15 Pack,119.0,0,REKORDERLIG STRAWBERRY & LIME CIDER BOTTLE 500ML:CTN15
7973852,Great Northern,Original Lager Bottle 330ml,6 Pack,22.0,0,GREAT NORTHERN ORIGINAL LAGER BOTTLE 330ML:PACK6
8004592,Neurita,Rosa Tequila 700ml,1 Each,65.0,0,NEURITA ROSA TEQUILA 700ML:EA
8019964,Grog,Mixed Can 330ml 10 Pack,10 Pack,60.0,0,GROG MIXED CAN 330ML 10PK:PACK10
8082880,Roc de l'Abbaye,Pinot Noir 750ml,1 Each,22.0,0,ROC DE L'ABBAYE PINOT NOIR 750ML:EA
