prodid,aisle,category,subcategory,aisle_id,category_id,subcategory_id
9264384,Bourbon Premix,Premixed Drinks,Liquorland,8898635,87941,85946
927451,Liquor,Vegan & Vegetarian,Dietary & World Foods,675078682,674136793,674112512
927451,Bourbon Premix,Premixed Drinks,Liquorland,8898635,87941,85946
927468,Liquor,Vegan & Vegetarian,Dietary & World Foods,675078682,674136793,674112512
927468,Bourbon Premix,Premixed Drinks,Liquorland,8898635,87941,85946
93606,Full-Strength,Beer,Liquorland,8898631,89715,85946
93606,Australian Beer,Beer,Liquorland,8905803,89715,85946
9395032,Bourbon Premix,Premixed Drinks,Liquorland,8898635,87941,85946
9861463,Liquor,Vegan & Vegetarian,Dietary & World Foods,675078682,674136793,674112512
9861463,Chardonnay,White Wine,Liquorland,89757,87939,85946
9861532,Liquor,Vegan & Vegetarian,Dietary & World Foods,675078682,674136793,674112512
9861532,Semillon Sauvignon Blanc,White Wine,Liquorland,8906050,87939,85946
9861827,Liquor,Vegan & Vegetarian,Dietary & World Foods,675078682,674136793,674112512
9861827,Cabernet Sauvignon & Blends,Red Wine,Liquorland,89748,87938,85946
9861827,Other Red Wine Varieties,Red Wine,Liquorland,89753,87938,85946
9895024,Rum,Spirits,Liquorland,8906006,87940,85946
9899149,Rum,Spirits,Liquorland,8906006,87940,85946
9938422,Semillon Sauvignon Blanc,White Wine,Liquorland,8906050,87939,85946
9944899,Craft Beer,Beer,Liquorland,8898632,89715,85946
9946409,Craft Beer,Beer,Liquorland,8898632,89715,85946
9946420,Craft Beer,Beer,Liquorland,8898632,89715,85946
9946453,Craft Beer,Beer,Liquorland,8898632,89715,85946
9946497,Craft Beer,Beer,Liquorland,8898632,89715,85946
9948878,Sauvignon Blanc,White Wine,Liquorland,89760,87939,85946
9948890,Pinot Noir,Red Wine,Liquorland,89750,87938,85946
9949214,Bourbon Premix,Premixed Drinks,Liquorland,8898635,87941,85946
9949360,Bourbon Premix,Premixed Drinks,Liquorland,8898635,87941,85946
9979485,Bourbon Premix,Premixed Drinks,Liquorland,8898635,87941,85946
9979542,Bourbon Premix,Premixed Drinks,Liquorland,8898635,87941,85946
