prodid,aisle,category,subcategory,aisle_id,category_id,subcategory_id
3693843,Graze Grass-Fed Lamb,Lamb,Meat & Seafood,8892639,8892638,7238
6841324,Lamb Roasts,Lamb,Meat & Seafood,8892644,8892638,7238
6841357,Lamb Roasts,Lamb,Meat & Seafood,8892644,8892638,7238
4352145,Chicken & Turkey Mince,Mince,Meat & Seafood,8892666,8892664,7238
3923626,Sausages,"Bbq, Sausages & Burgers",Meat & Seafood,8892662,8892656,7238
8428646,Chicken & Turkey Mince,Mince,Meat & Seafood,8892666,8892664,7238
3923648,Sausages,"Bbq, Sausages & Burgers",Meat & Seafood,8892662,8892656,7238
3923681,Sausages,"Bbq, Sausages & Burgers",Meat & Seafood,8892662,8892656,7238
3923761,Sausages,"Bbq, Sausages & Burgers",Meat & Seafood,8892662,8892656,7238
3898948,Burgers & Rissoles,"Bbq, Sausages & Burgers",Meat & Seafood,8892658,8892656,7238
3923739,Sausages,"Bbq, Sausages & Burgers",Meat & Seafood,8892662,8892656,7238
3034348,Burgers & Rissoles,"Bbq, Sausages & Burgers",Meat & Seafood,8892658,8892656,7238
2272737,Chicken Wings,Poultry,Meat & Seafood,8892606,8892602,7238
7585263,Free Range Chicken,Poultry,Meat & Seafood,8892611,8892602,7238
3923660,Sausages,"Bbq, Sausages & Burgers",Meat & Seafood,8892662,8892656,7238
8828495,Burgers & Rissoles,"Bbq, Sausages & Burgers",Meat & Seafood,8892658,8892656,7238
5132541,Burgers & Rissoles,"Bbq, Sausages & Burgers",Meat & Seafood,8892658,8892656,7238
1027228,Crumbed Chicken,Poultry,Meat & Seafood,8892607,8892602,7238
8450565,Kangaroo,Game,Meat & Seafood,8892690,8892689,7238
1200231,Kangaroo,Game,Meat & Seafood,8892690,8892689,7238
1327855,Other,"Bbq, Sausages & Burgers",Meat & Seafood,8892663,8892656,7238
1324711,Kebabs,"Bbq, Sausages & Burgers",Meat & Seafood,8892659,8892656,7238
1324835,Burgers & Rissoles,"Bbq, Sausages & Burgers",Meat & Seafood,8892658,8892656,7238
1327844,Kebabs,"Bbq, Sausages & Burgers",Meat & Seafood,8892659,8892656,7238
1324755,Sausages,"Bbq, Sausages & Burgers",Meat & Seafood,8892662,8892656,7238
1324802,Sausages,"Bbq, Sausages & Burgers",Meat & Seafood,8892662,8892656,7238
8106800,Deli Fish,Seafood,Meat & Seafood,8892673,8892671,7238
8106800,Fish,Deli Seafood,Deli,8892734,8892733,8892715
1134771,Pork Steaks,Pork,Meat & Seafood,8892655,8892647,7238
6139116,Pork Steaks,Pork,Meat & Seafood,8892655,8892647,7238
3766415,"Diced, Stir-Fry & Tenders",Poultry,Meat & Seafood,8892608,8892602,7238
3766346,"Diced, Stir-Fry & Tenders",Poultry,Meat & Seafood,8892608,8892602,7238
3766346,Ham Shoulder & Steaks,Ham,Meat & Seafood,8892637,8892632,7238
3954674,Deli Prawns,Seafood,Meat & Seafood,8892676,8892671,7238
3954674,Prawn & Crustaceans,Deli Seafood,Deli,8892735,8892733,8892715
3853699,Beef Steaks,Beef & Veal,Meat & Seafood,8892625,8892621,7238
2782438,Whole Chicken,Poultry,Meat & Seafood,8892615,8892602,7238
4803506,Deli Fish,Seafood,Meat & Seafood,8892673,8892671,7238
4803506,Fish,Deli Seafood,Deli,8892734,8892733,8892715
3035293,Pork Ribs,Pork,Meat & Seafood,8892653,8892647,7238
9196739,Whole Chicken,Poultry,Meat & Seafood,8892615,8892602,7238
9413881,Pork Roasts,Pork,Meat & Seafood,8892654,8892647,7238
9398755,Deli Fish,Seafood,Meat & Seafood,8892673,8892671,7238
9398755,Fish,Deli Seafood,Deli,8892734,8892733,8892715
3024242,Smoked And Cured Fish,Seafood,Meat & Seafood,8892678,8892671,7238
1757810,Lamb Cutlets,Lamb,Meat & Seafood,8892641,8892638,7238
2951568,Sausages,"Bbq, Sausages & Burgers",Meat & Seafood,8892662,8892656,7238
3492660,Beef Roasts,Beef & Veal,Meat & Seafood,8892624,8892621,7238
3492660,Slow Cook & Casserole Beef,Beef & Veal,Meat & Seafood,8892629,8892621,7238
6332353,Beef Steaks,Beef & Veal,Meat & Seafood,8892625,8892621,7238
9989977,Stir Fry & Diced Beef,Beef & Veal,Meat & Seafood,8892630,8892621,7238
3477123,Smoked And Cured Fish,Seafood,Meat & Seafood,8892678,8892671,7238
