prodid,aisle,category,subcategory,aisle_id,category_id,subcategory_id
8011248,Chilled Dog Food,Dog & Puppy,Pet,69444,78415,16427
8011474,Chilled Dog Food,Dog & Puppy,Pet,69444,78415,16427
8011485,Chilled Dog Food,Dog & Puppy,Pet,69444,78415,16427
8011543,Chilled Cat Food,Cat & Kitten,Pet,69777,74581,16427
8011554,Chilled Cat Food,Cat & Kitten,Pet,69777,74581,16427
8011576,Chilled Cat Food,Cat & Kitten,Pet,69777,74581,16427
8011601,Chilled Cat Food,Cat & Kitten,Pet,69777,74581,16427
8011689,Chilled Dog Food,Dog & Puppy,Pet,69444,78415,16427
8011690,Chilled Dog Food,Dog & Puppy,Pet,69444,78415,16427
8012150,Chilled Cat Food,Cat & Kitten,Pet,69777,74581,16427
8012580,Chilled Cat Food,Cat & Kitten,Pet,69777,74581,16427
8012590,Chilled Cat Food,Cat & Kitten,Pet,69777,74581,16427
8012830,Chilled Dog Food,Dog & Puppy,Pet,69444,78415,16427
8013367,Chilled Dog Food,Dog & Puppy,Pet,69444,78415,16427
8013378,Chilled Dog Food,Dog & Puppy,Pet,69444,78415,16427
8013389,Chilled Dog Food,Dog & Puppy,Pet,69444,78415,16427
8013390,Chilled Dog Food,Dog & Puppy,Pet,69444,78415,16427
8091123,Trays & Cans Dog Food,Dog & Puppy,Pet,66369,78415,16427
8091167,Trays & Cans Dog Food,Dog & Puppy,Pet,66369,78415,16427
8091338,Dog Treats & Milk,Dog & Puppy,Pet,66328,78415,16427
8093130,Dog Treats & Milk,Dog & Puppy,Pet,66328,78415,16427
8149879,Floor & Carpet Cleaners,Cleaning Goods,Household,12843,13228,14003
8149879,"Dog Accessories, Grooming & Toys",Dog & Puppy,Pet,66681,78415,16427
8182615,Cat Litter,Cat & Kitten,Pet,69522,74581,16427
8440540,Cat Treats & Milk,Cat & Kitten,Pet,67889,74581,16427
8440550,Cat Treats & Milk,Cat & Kitten,Pet,67889,74581,16427
8440561,Cat Treats & Milk,Cat & Kitten,Pet,67889,74581,16427
8445576,Trays & Cans Cat Food,Cat & Kitten,Pet,68523,74581,16427
8445587,Trays & Cans Cat Food,Cat & Kitten,Pet,68523,74581,16427
8445598,Trays & Cans Cat Food,Cat & Kitten,Pet,68523,74581,16427
8445849,Dog Treats & Milk,Dog & Puppy,Pet,66328,78415,16427
8460434,"Dog Accessories, Grooming & Toys",Dog & Puppy,Pet,66681,78415,16427
8461459,Trays & Cans Cat Food,Cat & Kitten,Pet,68523,74581,16427
8461460,Trays & Cans Cat Food,Cat & Kitten,Pet,68523,74581,16427
8461470,Trays & Cans Cat Food,Cat & Kitten,Pet,68523,74581,16427
8462360,Dry Cat Food,Cat & Kitten,Pet,68746,74581,16427
8462371,Dry Cat Food,Cat & Kitten,Pet,68746,74581,16427
8474869,Trays & Cans Cat Food,Cat & Kitten,Pet,68523,74581,16427
8474870,Trays & Cans Cat Food,Cat & Kitten,Pet,68523,74581,16427
8474880,Trays & Cans Cat Food,Cat & Kitten,Pet,68523,74581,16427
8475500,Trays & Cans Cat Food,Cat & Kitten,Pet,68523,74581,16427
8475500,Dry Cat Food,Cat & Kitten,Pet,68746,74581,16427
8475533,Trays & Cans Cat Food,Cat & Kitten,Pet,68523,74581,16427
8475533,Dry Cat Food,Cat & Kitten,Pet,68746,74581,16427
8475577,Trays & Cans Cat Food,Cat & Kitten,Pet,68523,74581,16427
8475577,Dry Cat Food,Cat & Kitten,Pet,68746,74581,16427
8554935,Bird Food,Birds,Pet,66778,79211,16427
8565840,Bird Treats,Birds,Pet,69332,79211,16427
8582103,Cat Litter,Cat & Kitten,Pet,69522,74581,16427
8595320,Cat Litter,Cat & Kitten,Pet,69522,74581,16427
8595320,"Cat Accessories, Grooming & Toys",Cat & Kitten,Pet,69553,74581,16427
8595320,"Kitten Food, Treats & Milk",Cat & Kitten,Pet,8888800,74581,16427
8656720,Trays & Cans Dog Food,Dog & Puppy,Pet,66369,78415,16427
8891618,Cat Litter,Cat & Kitten,Pet,69522,74581,16427
