prodid,brand,name,size,current_price,full_price,raw_description
6112798,My Dog,Adult Wet Dog Food Gourmet Premium Beef With Cheese Select Toppings,100g,1.0,1.8,MY DOG ADULT WET DOG FOOD SELECT TOPPINGS WITH PRIME BEEF & CHEESE 100G TRAY
9118451,Nature's Gift,Loaf Dog Food With Lamb & Pasta,1.2kg,3.15,4.5,NATURE'S GIFT LOAF DOG FOOD WITH LAMB & PASTA 1.2 KG
4473490,My Dog,Home Delights Chunks In Gravy With Slow Cooked Beef And Green Vegetables,100g,1.0,1.8,MY DOG HOME DELIGHTS CHUNKS IN GRAVY WITH SLOW COOKED BEEF & GREEEN VEGETABLES 100 GRAM
7752591,Purina One,Cat Food Pouch Kitten With Chicken,70g,1.4,1.9,PURINA ONE KITTEN CAT FOOD WITH CHICKEN POUCH 70GRAM
5234552,My Dog,Classic Loaf With Gourmet Beef Tray Adult Wet Dog Food,100g,1.0,1.8,MY DOG ADULT WET DOG FOOD CLASSIC LOAF WITH GOURMET BEEF TRAY 100G
7852111,My Dog,Chicken Mince With Rice Carrots & Spinach Puppy Wet Dog Food,100g,1.0,1.8,MY DOG PUPPY WET DOG FOOD CHICKEN MINCE WITH RICE CARROTS & SPINACH 100G TRAY
1070330,Coles,Cat Food Adult Lamb & Vegetables,400g,,,COLES CAT FOOD ADULT LAMB & VEGETABLES 400G
1075741,Pet Treat Bar,Peanut Butter & Kelp Bite,approx. 1kg,60.0,0.0,PET TREAT BAR PEANUT BUTTER & KELP BITE:.:PER KG
1075752,Pet Treat Bar,Beef Rib Finger,approx 1kg,60.0,0.0,PET TREAT BAR BEEF RIB FINGER:.:PER KG
1075763,Pet Treat Bar,Chicken & Rosemary Bite,approx 1kg,60.0,0.0,PET TREAT BAR CHICKEN & ROSEMARY BITE:.:PER KG
1075774,Pet Treat Bar,Ocean Fish Jerky,approx 1kg,60.0,0.0,PET TREAT BAR OCEAN FISH JERKY:.:PER KG
1153889,Pretty Wild,Creamy Puree Cat Treats 15g,20 Pack,,,PRETTY WILD CREAMY PUREE CAT TREATS 20X15G
1153925,Dine,Farm Collection With Chicken Carrot & Spinach Cat Food,85g,,,DINE FARM COLLECTION WITH CHICKEN CARROT & SPINACH CAT FOOD 85 GRAM
1153936,Dine,Farm Collection With Salmon Sweet Potato & Spinach Cat Food,85g,,,DINE FARM COLLECTION WITH SALMON SWEET POTATO & SPINACH CAT FOOD 85 GRAM
1154098,Dine,Farm Collection With Salmon Sweet Potato & Spinach Cat Food 7x85g,7 Pack,,,DINE FARM COLLECTION WITH SALMON SWEET POTATO & SPINACH CAT FOOD 7X85G
1154112,Dine,Farm Collection With Chicken Carrot & Spinach Cat Food 7x85g,7 Pack,,,DINE FARM COLLECTION WITH CHICKEN CARROT & SPINACH CAT FOOD 7X85G
1154597,Dine,Fresh & Fine Chunks In Gravy With Chicken Turkey & Duck Cat Food Pouch 6x50g,6 Pack,,,DINE FRESH & FINE CHUNKS IN GRAVY WITH CHICKEN TURKEY & DUCK CAT FOOD POUCH 6X50GRAM
1154644,Dine,Fresh & Fine Chunks In Gravy With Salmon Tuna & Trout Cat Food Pouch 6x50g,6 Pack,,,DINE FRESH & FINE CHUNKS IN GRAVY WITH SALMON TUNA & TROUT CAT FOOD POUCH 6X50GRAM
1154655,Dine,Fresh & Fine Chunks In Jelly With Chicken Turkey & Poultry Cat Food Pouch 6x50g,6 Pack,,,DINE FRESH & FINE CHUNKS IN JELLY WITH CHICKEN TURKEY & POULTRY CAT FOOD POUCH 6X50GRAM
1154724,Optimum,Dry Cat Food Healthy Weight,1.4Kg,,,OPTIMUM DRY CAT FOOD HEALTHY WEIGHT 1.4 KG
1154735,Optimum,Dry Cat Food Kitten Chicken,1.4kg,,,OPTIMUM DRY CAT FOOD KITTEN CHICKEN 1.4 KG
1154746,Optimum,Dry Cat Food Ocean Fish,1.4kg,,,OPTIMUM DRY CAT FOOD OCEAN FISH 1.4 KG
1154757,Optimum,Dry Cat Food Furball Chicken,1.4kg,,,OPTIMUM DRY CAT FOOD FURBALL CHICKEN 1.4 KG
1154826,Optimum,Dry Cat Food Multicat Chicken,2.8kg,,,OPTIMUM DRY CAT FOOD MULTICAT CHICKEN 2.8 KG
1154837,Optimum,Dry Cat Food Furball Chicken,2.8kg,,,OPTIMUM DRY CAT FOOD FURBALL CHICKEN 2.8 KG
1154928,Applaws,Vitality Hairball Chicken With Ocean Fish Adult Dry Cat Food,1Kg,,,APPLAWS VITALITY HAIRBALL CHICKEN WITH OCEAN FISH ADULT DRY CAT FOOD 1 KG
1154961,Applaws,Cat Food Chicken Bone Broth With Chicken Breast Soup,85g,,,APPLAWS CAT FOOD CHICKEN BONE BROTH WITH CHICKEN BREAST SOUP 85 GRAM
1154972,Applaws,Cat Food Fish Bone Broth With Tuna Fillet Soup,85g,,,APPLAWS CAT FOOD FISH BONE BROTH WITH TUNA FILLET SOUP 85 GRAM
1155498,Churu,Puree Chicken Flavour Cat Treats,56g,,,CHURU PUREE CHICKEN FLAVOUR CAT TREATS 56 GRAM
1155501,Churu,Puree Tuna & Salmon Flavour Cat Treats,56g,,,CHURU PUREE TUNA & SALMON FLAVOUR CAT TREATS 56 GRAM
1155589,Fussy Cat,Cat Food Jelly Lovers Pouch 12x80g,12 Pack,,,FUSSY CAT CAT FOOD JELLY LOVERS POUCH 12X80G
1155614,Fussy Cat,Twice As Tasty Cat Food Mince & Jelly 24x80g,24 Pack,,,FUSSY CAT TWICE AS TASTY CAT FOOD MINCE & JELLY 24X80GRAM
1155625,Fussy Cat,Twice As Tasty Cat Food Pate & Pieces Poultry Picks 24x80g,24 Pack,,,FUSSY CAT TWICE AS TASTY CAT FOOD PATE & PIECES POULTRY PICKS 24X80GRAM
1155658,Purina,One Kitten Dry Cat Food Active Chicken,450g,,,PURINA ONE KITTEN DRY CAT FOOD ACTIVE CHICKEN 450 GRAM
1155705,Fancy Feast,Classic Cat Food Collections Gravy Lovers 18x85g,18 Pack,,,FANCY FEAST CLASSIC CAT FOOD COLLECTIONS GRAVY LOVERS 18X85G
1155716,Fancy Feast,Classic Cat Food Collection Chicken 18x85g,18 Pack,,,FANCY FEAST CLASSIC CAT FOOD COLLECTION CHICKEN 18X85G
1155750,Fancy Feast,Medleys Cat Food Tuna Florentine,85g,,,FANCY FEAST MEDLEYS CAT FOOD TUNA FLORENTINE 85 GRAM
1155760,Fancy Feast,Medleys Cat Food White Meat Chicken Tuscany,85g,,,FANCY FEAST MEDLEYS CAT FOOD WHITE MEAT CHICKEN TUSCANY 85 GRAM
1155771,Felix,As Good As It Looks Gravy Lover Fish Selection 24x85g,24 Pack,,,FELIX AS GOOD AS IT LOOKS GRAVY LOVER FISH SELECTION 24X85GRAM
1155782,Felix,As Good As It Looks Doubly Delicious Meat Selection 24x85g,24 Pack,,,FELIX AS GOOD AS IT LOOKS DOUBLY DELICIOUS MEAT SELECTION 24X85GRAM
1155807,Friskies,Adult Dry Cat Food Meaty Grills,700g,,,FRISKIES ADULT DRY CAT FOOD MEATY GRILLS 700 GRAM
1156661,True Blue,Aussie Chicken & Tuna Dry Cat Food,800g,,,TRUE BLUE AUSSIE CHICKEN & TUNA DRY CAT FOOD 800G
1157438,Felix,As Good As It Looks Mixed Selection In Jelly Cat Food Pouches 48x85g,48 Pack,,,FELIX AS GOOD AS IT LOOKS MIXED SELECTION IN JELLY CAT FOOD POUCHES 48X85G
1158237,Ultimates,Planet Aware Tuna & Salmon Cat Food,85g,,,ULTIMATES PLANET AWARE TUNA & SALMON CAT FOOD 85G
1158259,Whiskas,Favourites Chicken Selections Cat Food 36x85g,36 Pack,,,WHISKAS FAVOURITES CHICKEN SELECTIONS CAT FOOD 36X85G
1158260,Whiskas,Favourites Tuna Selections Cat Food 36x85g,36 Pack,,,WHISKAS FAVOURITES TUNA SELECTIONS CAT FOOD 36X85G
1158270,Whiskas,Favourites Mixed Selections Cat Food 36x85g,36 Pack,,,WHISKAS FAVOURITES MIXED SELECTIONS CAT FOOD 36X85G
1219309,Pedigree,Large Breed With Real Beef Dry Dog Food,8kg,30.5,0.0,PEDIGREE LARGE BREED ADULT DRY DOG FOOD WITH REAL BEEF 8KG BAG
